,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),HST,667.0,807.0,2335.0,1573.0
Total cash(figures in $M),HST,667.0,807.0,2335.0,1573.0
Total current assets(figures in $M),HST,1374.0,1334.0,2496.0,1812.0
"Gross property, plant and equipment(figures in $M)",HST,556.0,551.0,597.0,595.0
"Net property, plant and equipment(figures in $M)",HST,556.0,551.0,597.0,595.0
Equity and other investments(figures in $M),HST,132.0,42.0,21.0,56.0
Other long-term assets(figures in $M),HST,459.0,431.0,360.0,171.0
Total non-current assets(figures in $M),HST,10895.0,11018.0,10394.0,10493.0
Total assets(figures in $M),HST,12269.0,12352.0,12890.0,12305.0
Current debt(figures in $M),HST,994.0,676.0,1474.0,989.0
Accounts payable(figures in $M),HST,372.0,85.0,71.0,263.0
Total current liabilities(figures in $M),HST,1433.0,803.0,1609.0,1252.0
Long-term debt(figures in $M),HST,3221.0,4215.0,4067.0,2805.0
Other long-term liabilities(figures in $M),HST,168.0,198.0,170.0,175.0
Total non-current liabilities(figures in $M),HST,3957.0,4977.0,4847.0,3586.0
Total liabilities(figures in $M),HST,5390.0,5780.0,6456.0,4838.0
Common stock(figures in $M),HST,7.0,7.0,7.0,7.0
Retained earnings(figures in $M),HST,-939.0,-1192.0,-1180.0,-307.0
Accumulated other comprehensive income(figures in $M),HST,-75.0,-76.0,-74.0,-56.0
Total stockholders' equity(figures in $M),HST,6710.0,6441.0,6321.0,7319.0
Total liabilities and stockholders' equity(figures in $M),HST,12269.0,12352.0,12890.0,12305.0
