,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),8014.0,8014.0,19868.0,20899.0,21048.0,INTC
Depreciation & amortisation(figures in $M),13035.0,13035.0,11792.0,12239.0,10826.0,INTC
Stock-based compensation(figures in $M),3128.0,3128.0,2036.0,1854.0,1705.0,INTC
Change in working capital(figures in $M),-4508.0,-4508.0,-4873.0,2179.0,1148.0,INTC
Accounts receivable(figures in $M),5327.0,5327.0,-2674.0,883.0,-935.0,INTC
Inventory(figures in $M),-2436.0,-2436.0,-2339.0,-687.0,-1481.0,INTC
Accounts payable(figures in $M),-29.0,-29.0,1190.0,412.0,696.0,INTC
Other working capital(figures in $M),-9617.0,-9617.0,9662.0,20931.0,16932.0,INTC
Other non-cash items(figures in $M),1074.0,1074.0,2626.0,0.0,0.0,INTC
Net cash provided by operating activities(figures in $M),15433.0,15433.0,29991.0,35384.0,33145.0,INTC
"Investments in property, plant and equipment(figures in $M)",-25050.0,-25050.0,-20329.0,-14453.0,-16213.0,INTC
"Acquisitions, net(figures in $M)",-510.0,-510.0,-209.0,-837.0,-1958.0,INTC
Purchases of investments(figures in $M),-44157.0,-44157.0,-41167.0,-29959.0,-11952.0,INTC
Sales/maturities of investments(figures in $M),53691.0,53691.0,35880.0,23068.0,14092.0,INTC
Other investing activities(figures in $M),-1540.0,-1540.0,658.0,1262.0,715.0,INTC
Net cash used for investing activities(figures in $M),-10477.0,-10477.0,-25167.0,-20796.0,-14405.0,INTC
Debt repayment(figures in $M),-5329.0,-5329.0,-2500.0,-4525.0,-2627.0,INTC
Common stock issued(figures in $M),1032.0,1032.0,0.0,0.0,0.0,INTC
Common stock repurchased(figures in $M),0.0,0.0,-2415.0,-14229.0,-13576.0,INTC
Dividends paid(figures in $M),-5997.0,-5997.0,-5644.0,-5568.0,-5576.0,INTC
Other financing activities(figures in $M),185.0,185.0,-1297.0,261.0,72.0,INTC
Net cash used provided by (used for) financing activities(figures in $M),1361.0,1361.0,-5862.0,-12917.0,-17565.0,INTC
Net change in cash(figures in $M),6317.0,6317.0,-1038.0,1671.0,1175.0,INTC
Cash at beginning of period(figures in $M),4827.0,4827.0,5865.0,4194.0,3019.0,INTC
Cash at end of period(figures in $M),11144.0,11144.0,4827.0,5865.0,4194.0,INTC
Operating cash flow(figures in $M),15433.0,15433.0,29991.0,35384.0,33145.0,INTC
Capital expenditure(figures in $M),-25050.0,-25050.0,-20329.0,-14453.0,-16213.0,INTC
Free cash flow(figures in $M),-9617.0,-9617.0,9662.0,20931.0,16932.0,INTC
