,ticker,2023,2024,2025,2026
Revenue(In $M),INTC,"51,127","57,924","63,354","105,699"
Dividend,INTC,0.97,0.75,0.74,-
Dividend Yield (in %),INTC,4.00 %,3.67 %,3.63 %,-
EPS,INTC,0.43,1.75,2.36,6.85
P/E Ratio,INTC,72.09,17.88,13.24,4.56
EBIT(In $M),INTC,"1,679","8,203","11,169",-
EBITDA(In $M),INTC,"12,394","16,545","21,472",-
Net Profit(In $M),INTC,"1,763","6,803","8,487","26,698"
Net Profit Adjusted(In $M),INTC,"1,763","7,029","8,359","26,698"
Pre-Tax Profit(In $M),INTC,"1,872","7,881","10,559","31,410"
Net Profit (Adjusted)(In $M),INTC,"-2,015","4,332","9,369",-
EPS (Non-GAAP) ex. SOE(In $),INTC,0.43,1.75,2.36,6.85
EPS (GAAP)(In $),INTC,-1.15,0.69,1.36,-
Gross Income(In $M),INTC,"20,484","26,582","30,268","59,191"
Cash Flow from Investing(In $M),INTC,"-19,119","-20,270","-24,579",-
Cash Flow from Operations(In $M),INTC,"7,110","18,139","24,255",-
Cash Flow from Financing(In $M),INTC,-,"-3,522","-1,802",-
Cash Flow per Share(In $),INTC,1.40,3.49,4.68,-
Free Cash Flow(In $M),INTC,"-10,703","-3,479",-687,-
Free Cash Flow per Share(In $),INTC,-2.72,-1.57,1.00,-
Book Value per Share(In $),INTC,23.19,23.76,24.97,-
Net Debt(In $M),INTC,"29,323","37,034","39,488",-
Research & Development Exp.(In $M),INTC,"15,363","15,094","16,969",-
Capital Expenditure(In $M),INTC,"19,556","21,925","23,211",-
"Selling, General & Admin. Exp.(In $M)",INTC,"4,804","4,709","5,337",-
Shareholder’s Equity(In $M),INTC,"97,048","101,378","114,083",-
Total Assets(In $M),INTC,"185,009","190,072","202,808",-
