,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),INTC,63054.0,63054.0,79024.0,77867.0,71965.0
Cost of revenue(figures in $M),INTC,36188.0,36188.0,35209.0,34255.0,29825.0
Gross profit(figures in $M),INTC,26866.0,26866.0,43815.0,43612.0,42140.0
Research development(figures in $M),INTC,17528.0,17528.0,15190.0,13556.0,13362.0
Selling general and administrative(figures in $M),INTC,7002.0,7002.0,6543.0,6180.0,6150.0
Total operating expenses(figures in $M),INTC,24530.0,24530.0,21733.0,19736.0,19712.0
Operating income or loss(figures in $M),INTC,2336.0,2336.0,22082.0,23876.0,22428.0
Interest expense(figures in $M),INTC,496.0,496.0,597.0,504.0,489.0
Total other income/expenses net(figures in $M),INTC,4266.0,4266.0,103.0,1706.0,1146.0
Income before tax(figures in $M),INTC,7768.0,7768.0,21703.0,25078.0,24058.0
Income tax expense(figures in $M),INTC,-249.0,-249.0,1835.0,4179.0,3010.0
Income from continuing operations(figures in $M),INTC,8017.0,8017.0,19868.0,20899.0,21048.0
Net income(figures in $M),INTC,8014.0,8014.0,19868.0,20899.0,21048.0
Net income available to common shareholders(figures in $M),INTC,8014.0,8014.0,19868.0,20899.0,21048.0
Basic EPS(figures in $M),INTC,,1.95e-06,4.89e-06,4.980000000000001e-06,4.769999999999999e-06
Diluted EPS(figures in $M),INTC,,1.94e-06,4.86e-06,4.94e-06,4.71e-06
Basic average shares(figures in $M),INTC,,4108.0,4059.0,4199.0,4417.0
Diluted average shares(figures in $M),INTC,,4123.0,4090.0,4232.0,4473.0
EBITDA(figures in $M),INTC,,15371.0,33874.0,37821.0,33254.0
