,United_States,United_States,United_States,United_States
,CPI,M3YD,Y10YD,URATE
date,,,,
2007-11-01,210.8,3.35,4.15,4.7
2007-12-01,211.4,3.07,4.1,5.0
2008-01-01,212.2,2.82,3.74,5.0
2008-02-01,212.7,2.17,3.74,4.9
2008-03-01,213.4,1.28,3.51,5.1
2008-04-01,213.9,1.31,3.68,5.0
2008-05-01,215.2,1.76,3.88,5.4
2008-06-01,217.5,1.89,4.1,5.6
2008-07-01,219.0,1.66,4.01,5.8
2008-08-01,218.7,1.75,3.89,6.1
2008-09-01,218.9,1.15,3.69,6.1
2008-10-01,217.0,0.69,3.81,6.5
2008-11-01,213.2,0.19,3.53,6.8
2008-12-01,211.4,0.03,2.42,7.3
2009-01-01,211.9,0.13,2.52,7.8
2009-02-01,212.7,0.3,2.87,8.3
2009-03-01,212.5,0.22,2.82,8.7
2009-04-01,212.7,0.16,2.93,9.0
2009-05-01,213.0,0.18,3.29,9.4
2009-06-01,214.8,0.18,3.72,9.5
2009-07-01,214.7,0.18,3.56,9.5
2009-08-01,215.4,0.17,3.59,9.6
2009-09-01,215.9,0.12,3.4,9.8
2009-10-01,216.5,0.07,3.39,10.0
2009-11-01,217.2,0.05,3.4,9.9
2009-12-01,217.3,0.05,3.59,9.9
2010-01-01,217.5,0.06,3.73,9.8
2010-02-01,217.3,0.11,3.69,9.8
2010-03-01,217.4,0.15,3.73,9.9
2010-04-01,217.4,0.16,3.85,9.9
2010-05-01,217.3,0.16,3.42,9.6
2010-06-01,217.2,0.12,3.2,9.4
2010-07-01,217.6,0.16,3.01,9.4
2010-08-01,217.9,0.16,2.7,9.5
2010-09-01,218.3,0.15,2.65,9.5
2010-10-01,219.0,0.13,2.54,9.4
2010-11-01,219.6,0.14,2.76,9.8
2010-12-01,220.5,0.14,3.29,9.3
2011-01-01,221.2,0.15,3.39,9.1
2011-02-01,221.9,0.13,3.58,9.0
2011-03-01,223.0,0.1,3.41,9.0
2011-04-01,224.1,0.06,3.46,9.1
2011-05-01,224.8,0.04,3.17,9.0
2011-06-01,224.8,0.04,3.0,9.1
2011-07-01,225.4,0.04,3.0,9.0
2011-08-01,226.1,0.02,2.3,9.0
2011-09-01,226.6,0.01,1.98,9.0
2011-10-01,226.8,0.02,2.15,8.8
2011-11-01,227.2,0.01,2.01,8.6
2011-12-01,227.2,0.01,1.98,8.5
2012-01-01,227.8,0.03,1.97,8.3
2012-02-01,228.3,0.09,1.97,8.3
2012-03-01,228.8,0.08,2.17,8.2
2012-04-01,229.2,0.08,2.05,8.2
2012-05-01,228.7,0.09,1.8,8.2
2012-06-01,228.5,0.09,1.62,8.2
2012-07-01,228.6,0.1,1.53,8.2
2012-08-01,229.9,0.1,1.68,8.1
2012-09-01,231.0,0.11,1.72,7.8
2012-10-01,231.6,0.1,1.75,7.8
2012-11-01,231.2,0.09,1.65,7.7
2012-12-01,231.2,0.07,1.72,7.9
2013-01-01,231.7,0.07,1.91,8.0
2013-02-01,232.9,0.1,1.98,7.7
2013-03-01,232.3,0.09,1.96,7.5
2013-04-01,231.8,0.06,1.76,7.6
2013-05-01,231.9,0.04,1.93,7.5
2013-06-01,232.4,0.05,2.3,7.5
2013-07-01,232.9,0.04,2.58,7.3
2013-08-01,233.5,0.04,2.74,7.2
2013-09-01,233.5,0.02,2.81,7.2
2013-10-01,233.7,0.05,2.62,7.2
2013-11-01,234.1,0.07,2.72,6.9
2013-12-01,234.7,0.07,2.9,6.7
2014-01-01,235.3,0.04,2.86,6.6
2014-02-01,235.5,0.05,2.71,6.7
2014-03-01,236.0,0.05,2.72,6.7
2014-04-01,236.5,0.03,2.71,6.2
2014-05-01,236.9,0.03,2.56,6.3
2014-06-01,237.2,0.04,2.6,6.1
2014-07-01,237.5,0.03,2.54,6.2
2014-08-01,237.5,0.03,2.42,6.1
2014-09-01,237.5,0.02,2.53,5.9
2014-10-01,237.4,0.02,2.3,5.7
2014-11-01,237.0,0.02,2.33,5.8
2014-12-01,236.3,0.03,2.21,5.6
2015-01-01,234.7,0.03,1.88,5.7
2015-02-01,235.3,0.02,1.98,5.5
2015-03-01,236.0,0.03,2.04,5.4
2015-04-01,236.2,0.02,1.94,5.4
2015-05-01,237.0,0.02,2.2,5.6
2015-06-01,237.7,0.02,2.36,5.3
2015-07-01,238.0,0.03,2.32,5.2
2015-08-01,238.0,0.07,2.17,5.1
2015-09-01,237.5,0.02,2.17,5.0
2015-10-01,237.7,0.02,2.07,5.0
2015-11-01,238.0,0.13,2.26,5.1
2015-12-01,237.8,0.23,2.24,5.0
2016-01-01,237.7,0.26,2.09,4.8
2016-02-01,237.3,0.31,1.78,4.9
2016-03-01,238.1,0.3,1.89,5.0
2016-04-01,239.0,0.23,1.81,5.1
2016-05-01,239.6,0.28,1.81,4.8
2016-06-01,240.2,0.27,1.64,4.9
2016-07-01,240.1,0.3,1.5,4.8
2016-08-01,240.5,0.3,1.56,4.9
2016-09-01,241.2,0.29,1.63,5.0
2016-10-01,241.7,0.33,1.76,4.9
2016-11-01,242.0,0.45,2.14,4.7
2016-12-01,242.6,0.51,2.49,4.7
2017-01-01,243.6,0.52,2.43,4.7
2017-02-01,244.0,0.53,2.42,4.6
2017-03-01,243.9,0.75,2.48,4.4
2017-04-01,244.2,0.81,2.3,4.4
2017-05-01,244.0,0.9,2.3,4.4
2017-06-01,244.2,1.0,2.19,4.3
2017-07-01,244.2,1.09,2.32,4.3
2017-08-01,245.2,1.03,2.21,4.4
2017-09-01,246.4,1.05,2.2,4.3
2017-10-01,246.6,1.09,2.36,4.2
2017-11-01,247.3,1.25,2.35,4.2
2017-12-01,247.8,1.34,2.4,4.1
2018-01-01,248.9,1.43,2.58,4.0
2018-02-01,249.5,1.59,2.86,4.1
2018-03-01,249.6,1.73,2.84,4.0
2018-04-01,250.2,1.79,2.87,4.0
2018-05-01,250.8,1.9,2.98,3.8
2018-06-01,251.0,1.94,2.91,4.0
2018-07-01,251.2,1.99,2.89,3.8
2018-08-01,251.7,2.07,2.89,3.8
2018-09-01,252.2,2.17,3.0,3.7
2018-10-01,252.8,2.29,3.15,3.8
2018-11-01,252.6,2.37,3.12,3.8
2018-12-01,252.8,2.41,2.83,3.9
2019-01-01,252.7,2.42,2.71,4.0
2019-02-01,253.3,2.44,2.68,3.8
2019-03-01,254.2,2.45,2.57,3.8
2019-04-01,255.2,2.43,2.53,3.6
2019-05-01,255.3,2.4,2.4,3.7
2019-06-01,255.2,2.22,2.07,3.6
2019-07-01,255.7,2.15,2.06,3.7
2019-08-01,256.1,1.99,1.63,3.7
2019-09-01,256.5,1.93,1.7,3.5
2019-10-01,257.2,1.68,1.71,3.6
2019-11-01,257.8,1.57,1.81,3.6
2019-12-01,258.6,1.57,1.86,3.6
2020-01-01,259.0,1.55,1.76,3.5
2020-02-01,259.2,1.54,1.5,3.5
2020-03-01,258.1,0.3,0.87,4.4
2020-04-01,256.1,0.14,0.66,14.7
2020-05-01,255.9,0.13,0.67,13.2
2020-06-01,257.0,0.16,0.73,11.0
2020-07-01,258.3,0.13,0.62,10.2
2020-08-01,259.4,0.1,0.65,8.4
2020-09-01,260.0,0.11,0.68,7.9
2020-10-01,260.3,0.1,0.79,6.9
2020-11-01,260.8,0.09,0.87,6.7
2020-12-01,262.0,0.09,0.93,6.7
2021-01-01,262.6,0.08,1.08,6.3
2021-02-01,263.6,0.04,1.26,6.2
2021-03-01,264.9,0.03,1.61,6.1
2021-04-01,266.7,0.02,1.64,6.1
2021-05-01,268.4,0.02,1.62,5.8
2021-06-01,270.6,0.04,1.52,5.9
2021-07-01,271.8,0.05,1.32,5.4
2021-08-01,272.9,0.05,1.28,5.2
2021-09-01,274.0,0.04,1.37,4.8
2021-10-01,276.5,0.05,1.58,4.5
2021-11-01,278.7,0.05,1.56,4.2
2021-12-01,280.9,0.06,1.47,3.9
2022-01-01,282.6,0.15,1.76,4.0
2022-02-01,284.6,0.31,1.93,3.8
2022-03-01,287.5,0.45,2.13,3.6
2022-04-01,288.6,0.76,2.75,3.6
2022-05-01,291.3,0.99,2.9,3.6
2022-06-01,294.7,1.54,3.14,3.6
2022-07-01,294.6,2.3,2.9,3.5
2022-08-01,295.3,2.72,2.9,3.7
2022-09-01,296.5,3.22,3.52,3.5
2022-10-01,298.0,3.87,3.98,3.7
2022-11-01,298.6,4.32,3.89,3.6
2022-12-01,299.0,4.36,3.62,3.5
2023-01-01,300.5,4.69,3.53,3.4
2023-02-01,301.6,4.79,3.75,3.6
2023-03-01,301.8,4.86,3.66,3.5
