,headline,final_score,datetime
0,Tenet Calls for Full Redemption of 4.625% Senior Secured First Lien Notes due 2024,86,2023-05-02 14:09:00
1,Tenet Announces Pricing of its $1.350 Billion Private Offering of Senior Secured Notes,86,2023-05-02 14:06:00
2,Tenet Healthcare Corporation (NYSE:THC) Q1 2023 Earnings Call Transcript,90,2023-05-02 05:56:09
3,Tenet Announces $1.350 Billion Private Offering of Senior Secured Notes,86,2023-05-02 05:22:00
4,Tenet Healthcare gets $1.35B financing via notes offering,86,2023-05-02 00:38:00
6,"Tenet Healthcare's (THC) Q1 Earnings Beat, Shares Up 3.9%",86,2023-04-27 08:43:03
7,Tenet to Participate in BofA Securities 2023 Health Care Conference,86,2023-04-27 06:00:00
8,Tenet Healthcare (THC) Receives a Buy from Mizuho Securities,86,2023-04-27 03:05:00
9,SVB Securities Remains a Buy on Tenet Healthcare (THC),86,2023-04-27 00:55:00
10,Barclays Maintains Tenet Healthcare (THC) Overweight Recommendation,86,2023-04-26 09:30:01
11,Stephens & Co. Maintains Tenet Healthcare (THC) Equal-Weight Recommendation,86,2023-04-26 09:29:59
12,Truist Securities Maintains Tenet Healthcare (THC) Buy Recommendation,86,2023-04-26 09:29:55
13,RBC Capital Maintains Tenet Healthcare (THC) Outperformer Recommendation,86,2023-04-26 09:29:53
14,Raymond James Maintains Tenet Healthcare (THC) Strong Buy Recommendation,86,2023-04-26 09:29:52
15,Deutsche Bank Maintains Tenet Healthcare (THC) Buy Recommendation,86,2023-04-26 09:29:52
16,Tenet Healthcare price target raised to $81 from $65 at Deutsche Bank,86,2023-04-26 01:43:00
17,Tenet Healthcare price target raised to $77 from $64 at Stephens,86,2023-04-26 01:21:00
18,Tenet Healthcare price target raised to $84 from $74 at Truist,86,2023-04-26 00:42:00
19,Tenet Healthcare price target raised to $85 from $72 at Raymond James,86,2023-04-26 00:01:00
20,Tenet Healthcare price target raised to $84 from $73 at RBC Capital,86,2023-04-25 23:17:00
21,Tenet Healthcare price target raised to $105 from $70 at Barclays,86,2023-04-25 23:16:00
22,"Analysts Offer Insights on Healthcare Companies: Medtronic (MDT), Tenet Healthcare (THC) and Artelo Biosciences (ARTL)",86,2023-04-25 23:02:00
23,Q1 2023 Tenet Healthcare Corp Earnings Call,90,2023-04-25 21:20:55
24,Barclays Sticks to Their Buy Rating for Tenet Healthcare (THC),86,2023-04-25 20:56:00
25,Tenet Healthcare Corporation (THC) Q1 2023 Earnings Call Transcript,90,2023-04-25 09:35:42
26,"Compared to Estimates, Tenet (THC) Q1 Earnings: A Look at Key Metrics",86,2023-04-25 08:00:03
27,Tenet Healthcare (THC) Q1 Earnings and Revenues Beat Estimates,86,2023-04-25 05:05:12
28,Tenet Reports First Quarter 2023 Results; Raises 2023 Outlook,86,2023-04-25 03:45:00
32,Tenet Healthcare beats Q1 top and bottom line estimates; initiates Q2 and updates FY23 outlook,86,2023-04-24 23:03:00
33,Tenet Healthcare sees FY23 adjusted EPS $4.92-$6.09,86,2023-04-24 22:49:00
34,Tenet Healthcare sees Q2 adjusted EPS $1.07-$1.30,86,2023-04-24 22:49:00
35,Tenet Healthcare raises FY23 adjusted EBITDA view to $3.21B-$3.41B,86,2023-04-24 22:48:00
36,Tenet Healthcare reports Q1 adjusted EPS $1.42 vs. $1.90 last year,86,2023-04-24 22:47:00
37,Unusual Call Option Trade in Tenet Healthcare (THC)  Worth $412.50K,86,2023-04-24 14:20:42
38,Tenet Healthcare Q1 2023 Earnings Preview,86,2023-04-24 04:35:00
40,HCA Healthcare price target raised to $323 from $294 at BofA,86,2023-04-23 23:25:00
41,HCA Healthcare: Shares Got Just A Well-Deserved Boost On Strong Q1 Earnings,86,2023-04-22 01:00:00
42,Cantor Fitzgerald Initiates Coverage of Tenet Healthcare (THC) with Overweight Recommendation,86,2023-04-21 08:25:26
43,"Tenet Healthcare (NYSE:THC) shareholder returns have been solid, earning 252% in 3 years",86,2023-04-21 07:12:31
44,Tenet (THC) Shows Fast-paced Momentum But Is Still a Bargain Stock,86,2023-04-21 05:50:12
45,HCA Healthcare (HCA) Beats Q1 Earnings and Revenue Estimates,86,2023-04-21 05:15:12
