,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BAX,"15,353","15,952","16,572","17,344","17,754"
Dividend,BAX,1.17,1.05,1.06,-,-
Dividend Yield (in %),BAX,3.01 %,2.64 %,2.67 %,-,-
EPS,BAX,2.93,3.32,3.76,4.21,4.37
P/E Ratio,BAX,15.48,13.64,12.05,10.78,10.37
EBIT(In $M),BAX,"2,404","2,655","2,912","3,239","3,329"
EBITDA(In $M),BAX,"3,315","3,595","3,872","4,250",-
Net Profit(In $M),BAX,"1,481","1,684","1,911","2,154","2,228"
Net Profit Adjusted(In $M),BAX,"1,481","1,684","1,911","2,154","2,228"
Pre-Tax Profit(In $M),BAX,"1,907","2,171","2,411","2,761","2,855"
Net Profit (Adjusted)(In $M),BAX,"1,357","1,708","1,933",-,-
EPS (Non-GAAP) ex. SOE(In $),BAX,2.88,3.51,-,-,-
EPS (GAAP)(In $),BAX,1.63,2.44,2.82,-,-
Gross Income(In $M),BAX,"6,428","6,805","7,139","7,704","7,812"
Cash Flow from Investing(In $M),BAX,-814,-818,-698,-,-
Cash Flow from Operations(In $M),BAX,"1,797","2,477","2,432",-,-
Cash Flow from Financing(In $M),BAX,"-1,176",-707,"-2,517",-,-
Cash Flow per Share(In $),BAX,4.36,4.78,6.96,-,-
Free Cash Flow(In $M),BAX,"1,550","1,773","1,970",-,-
Free Cash Flow per Share(In $),BAX,-,-,-,-,-
Book Value per Share(In $),BAX,18.00,18.64,19.86,-,-
Net Debt(In $M),BAX,"1,097","12,891","11,206",-,-
Research & Development Exp.(In $M),BAX,653,686,722,731,710
Capital Expenditure(In $M),BAX,757,767,723,-,-
"Selling, General & Admin. Exp.(In $M)",BAX,"3,410","3,499","3,609","3,734","3,773"
Shareholder’s Equity(In $M),BAX,"6,213","7,002","8,089",-,-
Total Assets(In $M),BAX,"27,623","28,148","27,080",-,-
