,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),NVDA,"26,952","30,058","37,217","46,425","61,750","76,192"
Dividend,NVDA,0.19,0.17,0.18,0.19,-,-
Dividend Yield (in %),NVDA,0.08 %,0.07 %,0.08 %,0.08 %,-,-
EPS,NVDA,3.27,4.55,6.09,7.88,10.92,13.89
P/E Ratio,NVDA,85.15,61.22,45.73,35.32,25.49,20.04
EBIT(In $M),NVDA,"8,970","12,429","16,256","21,132","30,945","40,592"
EBITDA(In $M),NVDA,"10,471","14,053","18,853","22,537",-,-
Net Profit(In $M),NVDA,"4,401","8,194","11,643",-,-,"29,738"
Net Profit Adjusted(In $M),NVDA,"8,160","11,090","14,778","19,683","27,369","35,817"
Pre-Tax Profit(In $M),NVDA,"8,970","12,714","16,732","20,914","28,127","35,514"
Net Profit (Adjusted)(In $M),NVDA,"4,409","9,472","13,952","16,979","28,236","34,986"
EPS (Non-GAAP) ex. SOE(In $),NVDA,-,3.34,4.91,5.99,9.13,11.13
EPS (GAAP)(In $),NVDA,1.71,-,-,6.23,9.40,11.54
Gross Income(In $M),NVDA,"15,934","19,800","24,626","30,292","42,569","53,190"
Cash Flow from Investing(In $M),NVDA,"5,560","-1,160","-1,653","-2,109",-,-
Cash Flow from Operations(In $M),NVDA,"6,807","12,484","15,080","19,385",-,-
Cash Flow from Financing(In $M),NVDA,"-10,645","-5,650","-5,156","-5,589",-,-
Cash Flow per Share(In $),NVDA,3.16,5.11,6.63,7.61,-,-
Free Cash Flow(In $M),NVDA,"4,966","11,656","14,056","15,940",-,-
Free Cash Flow per Share(In $),NVDA,1.72,4.50,5.91,7.20,-,-
Book Value per Share(In $),NVDA,8.78,11.02,14.59,17.98,-,-
Net Debt(In $M),NVDA,"-4,951","-9,452","-11,453","-21,436",-,-
Research & Development Exp.(In $M),NVDA,"5,379","5,727","7,053","8,577","11,621","14,475"
Capital Expenditure(In $M),NVDA,"1,761","1,345","1,600","2,124",-,-
"Selling, General & Admin. Exp.(In $M)",NVDA,"1,565","1,775","2,043","2,523","2,816","3,081"
Shareholder’s Equity(In $M),NVDA,"21,300","26,905","36,022","46,820",-,-
Total Assets(In $M),NVDA,"40,106","46,506","56,338","70,885",-,-
