,ticker,2023,2024,2025,2026
Revenue(In $M),HON,"37,031","38,986","40,793","44,048"
Dividend,HON,4.14,4.38,4.58,-
Dividend Yield (in %),HON,2.17 %,2.31 %,2.45 %,-
EPS,HON,9.16,10.07,10.97,12.21
P/E Ratio,HON,21.65,19.68,18.06,16.24
EBIT(In $M),HON,"8,402","9,087","9,649","10,571"
EBITDA(In $M),HON,"9,503","10,181","10,677","11,820"
Net Profit(In $M),HON,"6,136","6,633","7,080",-
Net Profit Adjusted(In $M),HON,"6,145","6,639","7,041",-
Pre-Tax Profit(In $M),HON,"7,803","8,472","9,016",-
Net Profit (Adjusted)(In $M),HON,"7,783","8,464","8,873",-
EPS (Non-GAAP) ex. SOE(In $),HON,9.16,10.07,10.97,12.21
EPS (GAAP)(In $),HON,9.16,10.08,10.76,-
Gross Income(In $M),HON,"13,244","13,843","14,932",-
Cash Flow from Investing(In $M),HON,-951,-963,-901,-
Cash Flow from Operations(In $M),HON,"5,020","7,056","7,702",-
Cash Flow from Financing(In $M),HON,"-5,330","-5,878","-5,732",-
Cash Flow per Share(In $),HON,9.17,9.88,12.62,-
Free Cash Flow(In $M),HON,"4,368","6,124","6,868","7,630"
Free Cash Flow per Share(In $),HON,7.02,8.97,10.36,12.42
Book Value per Share(In $),HON,26.90,28.75,28.02,-
Net Debt(In $M),HON,"10,777","9,890","10,250",-
Research & Development Exp.(In $M),HON,"1,507","1,601","1,695",-
Capital Expenditure(In $M),HON,979,967,920,-
"Selling, General & Admin. Exp.(In $M)",HON,"5,117","5,297","5,636",-
Shareholder’s Equity(In $M),HON,"17,953","15,625","18,316",-
Total Assets(In $M),HON,"61,031","61,631","61,498",-
