,2022,2021,2020,2019,2018,ticker
Current ratio,1.250,1.370,3.148,1.309,1.501,NRG
Quick ratio,0.401,0.529,2.511,0.581,0.662,NRG
Cash ratio,0.033,0.032,2.039,0.146,0.235,NRG
Days of sales outstanding,55.231,53.204,36.287,38.094,39.434,NRG
Days of inventory outstanding,9.987,8.875,18.250,19.142,21.156,NRG
Operating cycle,65.218,62.078,54.537,57.237,60.591,NRG
Days of payables outstanding,48.448,40.524,36.221,36.085,44.264,NRG
Cash conversion cycle,16.771,21.554,18.316,21.151,16.327,NRG
Gross profit margin,0.130,0.241,0.281,0.256,0.250,NRG
Operating profit margin,0.066,0.124,0.122,0.131,0.104,NRG
Pretax profit margin,0.053,0.106,0.084,0.080,0.049,NRG
Net profit margin,0.039,0.081,0.056,0.452,0.028,NRG
Effective tax rate,0.266,0.235,0.330,-4.242,0.015,NRG
Return on assets,0.042,0.094,0.034,0.354,0.025,NRG
Return on equity,0.319,0.608,0.304,2.677,-0.217,NRG
Return on capital employed,0.129,0.219,0.085,0.127,0.119,NRG
Net income per EBT,0.734,0.765,0.670,5.646,0.574,NRG
Ebt per ebit,0.800,0.855,0.689,0.609,0.476,NRG
Ebit per revenue,0.066,0.124,0.122,0.131,0.104,NRG
Debt ratio,0.869,0.845,0.887,0.868,1.116,NRG
Debt equity ratio,2.169,2.302,5.380,3.888,-5.284,NRG
Long term debt to capitalization,0.681,0.695,0.842,0.791,1.237,NRG
Total debt to capitalization,0.684,0.697,0.843,0.795,1.233,NRG
Interest coverage,4.988,6.895,2.756,3.123,2.033,NRG
Cash flow to debt ratio,0.043,0.059,0.203,0.219,0.211,NRG
Company equity multiplier,7.614,6.439,8.870,7.558,-8.613,NRG
Receivables turnover,6.609,6.860,10.059,9.581,9.256,NRG
Payables turnover,7.534,9.007,10.077,10.115,8.246,NRG
Inventory turnover,36.546,41.129,20,19.068,17.252,NRG
Fixed asset turnover,16.454,13.777,3.193,3.213,3.110,NRG
Asset turnover,1.082,1.164,0.610,0.784,0.892,NRG
Operating cash flow per share,1.469,2.012,7.498,5.393,4.530,NRG
Free cash flow per share,-0.053,0.914,6.559,4.523,3.253,NRG
Cash per share,1.755,1.020,15.939,1.317,1.852,NRG
Payout ratio,0.272,0.146,0.578,0.007,0.138,NRG
Operating cash flow sales ratio,0.011,0.018,0.202,0.144,0.145,NRG
Free cash flow operating cash flow ratio,-0.036,0.454,0.875,0.839,0.718,NRG
Cash flow coverage ratios,0.043,0.059,0.203,0.219,0.211,NRG
Short term coverage ratios,2.466,5.800,26.243,8.776,19.125,NRG
Capital expenditure coverage ratio,-0.965,-1.833,-7.987,-6.197,-3.549,NRG
Dividend paid and capex coverage ratio,-8.780,9.860,28.262,-7.209,-3.923,NRG
Dividend payout ratio,0.272,0.146,0.578,0.007,0.138,NRG
Price book value ratio,2.037,2.932,5.476,6.281,-9.756,NRG
Price to book ratio,2.037,2.932,5.476,6.281,-9.756,NRG
Price to sales ratio,0.247,0.391,1.012,1.060,1.270,NRG
Price earnings ratio,6.385,4.826,18.039,2.347,44.919,NRG
Price to free cash flows ratio,-599.685,47.119,5.725,8.789,12.172,NRG
Price to operating cash flows ratio,21.655,21.409,5.008,7.370,8.742,NRG
Price cash flow ratio,21.655,21.409,5.008,7.370,8.742,NRG
Price earnings to growth ratio,-0.144,0.015,-0.206,0.001,0.398,NRG
Price sales ratio,0.247,0.391,1.012,1.060,1.270,NRG
Dividend yield,0.043,0.030,0.032,0.003,0.003,NRG
Enterprise value multiple,5.355,4.338,8.329,8.342,13.738,NRG
Price fair value,2.037,2.932,5.476,6.281,-9.756,NRG
