,ticker,2023,2024,2025,2026
Revenue(In $M),WAT,-,"3,417","3,619","3,817"
Dividend,WAT,0.00,0.00,0.00,-
Dividend Yield (in %),WAT,-,-,-,-
EPS,WAT,-,14.15,15.88,16.90
P/E Ratio,WAT,23.45,20.96,18.67,17.54
EBIT(In $M),WAT,-,"1,053","1,135","1,208"
EBITDA(In $M),WAT,-,"1,195","1,275","1,356"
Net Profit(In $M),WAT,-,832,907,939
Net Profit Adjusted(In $M),WAT,-,833,909,939
Pre-Tax Profit(In $M),WAT,-,982,"1,070","1,111"
Net Profit (Adjusted)(In $M),WAT,880,957,"1,036",-
EPS (Non-GAAP) ex. SOE(In $),WAT,-,14.15,15.88,16.90
EPS (GAAP)(In $),WAT,-,14.17,15.78,-
Gross Income(In $M),WAT,"1,860","2,001","2,141","2,327"
Cash Flow from Investing(In $M),WAT,-,-154,-163,-
Cash Flow from Operations(In $M),WAT,-,973,"1,038",-
Cash Flow from Financing(In $M),WAT,-,-995,-577,-
Cash Flow per Share(In $),WAT,-,16.16,18.42,-
Free Cash Flow(In $M),WAT,-,807,855,-
Free Cash Flow per Share(In $),WAT,-,13.06,14.30,-
Book Value per Share(In $),WAT,-,15.03,25.86,-
Net Debt(In $M),WAT,-,"1,452","1,091",-
Research & Development Exp.(In $M),WAT,-,200,213,206
Capital Expenditure(In $M),WAT,165,167,178,-
"Selling, General & Admin. Exp.(In $M)",WAT,-,735,769,770
Shareholder’s Equity(In $M),WAT,-,880,"1,488",-
Total Assets(In $M),WAT,-,"3,764","4,124",-
