,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),PHM,1053.104,1779.088,2582.205,1217.913
Other short-term investments(figures in $M),PHM,0.0,947.139,564.979,508.967
Total cash(figures in $M),PHM,1053.104,1779.088,2582.205,1217.913
Net receivables(figures in $M),PHM,43.746,57.49,69.491,118.366
Inventory(figures in $M),PHM,11326.017,9047.569,7721.798,7680.614
Total current assets(figures in $M),PHM,13140.031,11857.549,10946.974,9465.046
"Gross property, plant and equipment(figures in $M)",PHM,516.047,451.966,431.817,400.642
Accumulated depreciation(figures in $M),PHM,-242.3,-228.5,-228.8,-218.9
"Net property, plant and equipment(figures in $M)",PHM,273.747,223.466,203.017,181.742
Equity and other investments(figures in $M),PHM,146.759,98.155,35.562,59.766
Goodwill(figures in $M),PHM,68.9,68.9,68.9,40.4
Intangible assets(figures in $M),PHM,66.905,78.023,94.525,84.592
Other long-term assets(figures in $M),PHM,1291.572,1110.966,923.27,895.686
Total non-current assets(figures in $M),PHM,1656.484,1495.082,1258.524,1250.551
Total assets(figures in $M),PHM,14796.515,13352.631,12205.498,10715.597
Current debt(figures in $M),PHM,0.0,0.0,11.969,25.159
Accounts payable(figures in $M),PHM,565.975,621.168,511.321,435.916
Taxes payable(figures in $M),PHM,98.709,0.0,0.0,36.093
Accrued liabilities(figures in $M),PHM,1685.202,1576.478,1407.043,1399.368
Deferred revenues(figures in $M),PHM,783.556,844.785,449.474,294.427
Other current liabilities(figures in $M),PHM,72.058,0.0,0.0,0.0
Total current liabilities(figures in $M),PHM,3034.733,3042.431,2367.838,2165.804
Long-term debt(figures in $M),PHM,2632.238,2655.166,3164.123,3091.613
Deferred tax liabilities(figures in $M),PHM,215.446,165.519,103.548,0.0
Deferred revenues(figures in $M),PHM,0.0,0.0,0.0,294.427
Other long-term liabilities(figures in $M),PHM,12.378,12.381,11.969,25.159
Total non-current liabilities(figures in $M),PHM,2847.684,2820.685,3267.671,3091.613
Total liabilities(figures in $M),PHM,5882.417,5863.116,5635.509,5257.417
Common stock(figures in $M),PHM,2.258,2.493,2.665,2.702
Retained earnings(figures in $M),PHM,5581.702,4196.276,3306.057,2220.574
Accumulated other comprehensive income(figures in $M),PHM,0.0,-0.045,-0.145,-0.245
Total stockholders' equity(figures in $M),PHM,8914.098,7489.515,6569.989,5458.18
Total liabilities and stockholders' equity(figures in $M),PHM,14796.515,13352.631,12205.498,10715.597
