,2022,2021,2020,2019,2018,ticker
Current ratio,4.330,3.897,4.623,4.370,5.676,PHM
Quick ratio,0.570,1.207,1.568,1.032,1.410,PHM
Cash ratio,0.347,0.585,1.091,0.562,0.658,PHM
Days of sales outstanding,15.231,24.823,18.686,18.190,28.974,PHM
Days of inventory outstanding,362.806,325.534,341.303,358.697,338.772,PHM
Operating cycle,378.037,350.357,359.989,376.887,367.745,PHM
Days of payables outstanding,18.130,22.350,22.600,20.358,16.442,PHM
Cash conversion cycle,359.907,328.007,337.388,356.529,351.304,PHM
Gross profit margin,0.298,0.272,0.252,0.235,0.233,PHM
Operating profit margin,0.213,0.189,0.162,0.132,0.132,PHM
Pretax profit margin,0.212,0.180,0.157,0.131,0.132,PHM
Net profit margin,0.161,0.140,0.127,0.100,0.100,PHM
Effective tax rate,0.239,0.225,0.186,0.241,0.242,PHM
Return on assets,0.177,0.146,0.115,0.095,0.100,PHM
Return on equity,0.294,0.260,0.214,0.186,0.212,PHM
Return on capital employed,0.294,0.256,0.182,0.158,0.159,PHM
Net income per EBT,0.761,0.775,0.814,0.759,0.758,PHM
Ebt per ebit,0.996,0.952,0.967,0.990,1.000,PHM
Ebit per revenue,0.213,0.189,0.162,0.132,0.132,PHM
Debt ratio,0.398,0.439,0.462,0.491,0.526,PHM
Debt equity ratio,0.295,0.355,0.483,0.571,0.711,PHM
Long term debt to capitalization,0.228,0.262,0.325,0.362,0.412,PHM
Total debt to capitalization,0.228,0.262,0.326,0.363,0.416,PHM
Interest coverage,12.159 K,5.249 K,420.645,2.317 K,2.181 K,PHM
Cash flow to debt ratio,0.254,0.378,0.562,0.346,0.423,PHM
Company equity multiplier,1.660,1.783,1.858,1.963,2.112,PHM
Receivables turnover,23.965,14.704,19.534,20.066,12.598,PHM
Payables turnover,20.133,16.331,16.150,17.929,22.200,PHM
Inventory turnover,1.006,1.121,1.069,1.018,1.077,PHM
Fixed asset turnover,59.285,62.322,54.360,56.195,109.629,PHM
Asset turnover,1.097,1.043,0.904,0.953,1.002,PHM
Operating cash flow per share,2.844,3.872,6.644,3.926,5.112,PHM
Free cash flow per share,2.365,3.592,6.427,3.714,4.904,PHM
Cash per share,4.481,10.514,11.719,6.291,5.541,PHM
Payout ratio,0.055,0.076,0.093,0.120,0.102,PHM
Operating cash flow sales ratio,0.041,0.072,0.162,0.106,0.142,PHM
Free cash flow operating cash flow ratio,0.831,0.928,0.967,0.946,0.959,PHM
Cash flow coverage ratios,0.254,0.378,0.562,0.346,0.423,PHM
Short term coverage ratios,0,0,149.080,42.829,28.832,PHM
Capital expenditure coverage ratio,-5.933,-13.795,-30.578,-18.540,-24.556,PHM
Dividend paid and capex coverage ratio,21.252,13.377,24.843,16.776,32.230,PHM
Dividend payout ratio,0.055,0.076,0.093,0.120,0.102,PHM
Price book value ratio,1.200,1.979,1.763,1.951,1.530,PHM
Price to book ratio,1.200,1.979,1.763,1.951,1.530,PHM
Price to sales ratio,0.659,1.064,1.049,1.043,0.723,PHM
Price earnings ratio,4.088,7.615,8.231,10.475,7.211,PHM
Price to free cash flows ratio,19.251,15.915,6.709,10.447,5.300,PHM
Price to operating cash flows ratio,16.007,14.761,6.490,9.884,5.084,PHM
Price cash flow ratio,16.007,14.761,6.490,9.884,5.084,PHM
Price earnings to growth ratio,0.084,0.176,0.199,3.390,0.050,PHM
Price sales ratio,0.659,1.064,1.049,1.043,0.723,PHM
Dividend yield,0.013,0.010,0.011,0.011,0.014,PHM
Enterprise value multiple,3.484,5.803,6.563,8.901,6.895,PHM
Price fair value,1.200,1.979,1.763,1.951,1.530,PHM
