,ticker,2023,2024,2025,2026,2027
Revenue(In $M),OKE,"21,503","21,695","26,071",-,-
Dividend,OKE,3.83,3.93,4.08,4.30,4.47
Dividend Yield (in %),OKE,5.93 %,6.08 %,6.25 %,6.68 %,6.94 %
EPS,OKE,5.51,4.79,5.13,5.73,-
P/E Ratio,OKE,11.38,13.08,12.22,10.94,-
EBIT(In $M),OKE,"3,649","3,383","3,595",-,-
EBITDA(In $M),OKE,"4,610","4,189","4,402","4,408","4,416"
Net Profit(In $M),OKE,"2,478","2,164","2,300",-,-
Net Profit Adjusted(In $M),OKE,"2,572","2,202","2,376",-,-
Pre-Tax Profit(In $M),OKE,"3,252","2,823","3,074",-,-
Net Profit (Adjusted)(In $M),OKE,"3,253","3,025","3,298",-,-
EPS (Non-GAAP) ex. SOE(In $),OKE,5.85,5.16,5.97,5.58,-
EPS (GAAP)(In $),OKE,5.51,4.79,5.13,5.73,-
Gross Income(In $M),OKE,"5,222","5,192","5,119",-,-
Cash Flow from Investing(In $M),OKE,"-1,073","-1,053",-807,-,-
Cash Flow from Operations(In $M),OKE,"3,326","3,398","3,452",-,-
Cash Flow from Financing(In $M),OKE,"-2,414","-2,349","-2,686",-,-
Cash Flow per Share(In $),OKE,8.23,7.47,7.94,-,-
Free Cash Flow(In $M),OKE,"2,418","2,225","2,776","2,542","2,571"
Free Cash Flow per Share(In $),OKE,5.78,4.78,4.49,6.26,6.63
Book Value per Share(In $),OKE,16.41,17.59,19.33,-,-
Net Debt(In $M),OKE,"12,637","12,343","12,182","12,267","12,353"
Research & Development Exp.(In $M),OKE,-,-,-,-,-
Capital Expenditure(In $M),OKE,"1,264","1,142",892,700,650
"Selling, General & Admin. Exp.(In $M)",OKE,-,-,-,-,-
Shareholder’s Equity(In $M),OKE,"8,096","8,565","9,032",-,-
Total Assets(In $M),OKE,"25,595","26,691","26,486",-,-
