,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NEE,"24,421","26,222","27,612","30,889","32,966"
Dividend,NEE,1.85,2.04,2.23,2.48,2.74
Dividend Yield (in %),NEE,2.49 %,2.73 %,2.99 %,3.33 %,3.59 %
EPS,NEE,3.11,3.40,3.67,4.02,4.41
P/E Ratio,NEE,24.28,22.18,20.55,18.80,17.13
EBIT(In $M),NEE,"8,741","9,634","10,423","10,866","11,818"
EBITDA(In $M),NEE,"13,612","14,921","16,118","17,307","18,401"
Net Profit(In $M),NEE,"6,270","6,919","7,483","8,268","9,123"
Net Profit Adjusted(In $M),NEE,"6,270","6,919","7,483","8,268","9,123"
Pre-Tax Profit(In $M),NEE,"6,741","7,512","7,911","8,256","8,807"
Net Profit (Adjusted)(In $M),NEE,"7,028","7,829","8,221","8,256","8,807"
EPS (Non-GAAP) ex. SOE(In $),NEE,3.11,3.40,3.67,4.02,4.41
EPS (GAAP)(In $),NEE,3.11,3.41,3.72,4.35,5.00
Gross Income(In $M),NEE,"19,211","21,456","23,515",-,-
Cash Flow from Investing(In $M),NEE,"-16,783","-17,118","-17,071","-23,029","-23,854"
Cash Flow from Operations(In $M),NEE,"11,549","12,811","13,984","15,928","17,210"
Cash Flow from Financing(In $M),NEE,"5,379","5,581","5,306","8,554","8,917"
Cash Flow per Share(In $),NEE,5.63,6.39,7.12,8.07,8.67
Free Cash Flow(In $M),NEE,"-8,748","-9,054","-7,986","-2,636","-2,754"
Free Cash Flow per Share(In $),NEE,-3.56,-1.87,-5.53,-5.32,-5.06
Book Value per Share(In $),NEE,23.88,25.08,26.35,-,-
Net Debt(In $M),NEE,"69,300","77,625","87,065","104,232","113,632"
Research & Development Exp.(In $M),NEE,-,-,-,-,-
Capital Expenditure(In $M),NEE,"15,882","16,645","17,311","16,238","14,572"
"Selling, General & Admin. Exp.(In $M)",NEE,"3,507","3,507","3,507",-,-
Shareholder’s Equity(In $M),NEE,"49,356","52,301","55,862","54,332","56,155"
Total Assets(In $M),NEE,"175,378","192,118","208,715","224,917","240,839"
