,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AMZN,"559,145","626,914","704,073","788,542","881,923"
Dividend,AMZN,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),AMZN,-,-,-,-,-
EPS,AMZN,1.56,2.57,3.68,5.16,6.56
P/E Ratio,AMZN,66.79,40.65,28.35,20.24,15.90
EBIT(In $M),AMZN,"21,950","34,195","49,721","69,522","86,451"
EBITDA(In $M),AMZN,"84,119","102,275","121,707","153,854","181,480"
Net Profit(In $M),AMZN,"16,155","27,198","39,995","55,708","70,451"
Net Profit Adjusted(In $M),AMZN,"30,889","42,280","57,173","61,214","69,526"
Pre-Tax Profit(In $M),AMZN,"20,721","34,500","50,249","71,011","91,227"
Net Profit (Adjusted)(In $M),AMZN,"20,358","34,111","49,720","70,429","90,885"
EPS (Non-GAAP) ex. SOE(In $),AMZN,-,2.28,3.05,5.44,4.73
EPS (GAAP)(In $),AMZN,1.56,2.57,3.68,5.16,6.56
Gross Income(In $M),AMZN,"252,735","286,847","326,614","358,540","419,710"
Cash Flow from Investing(In $M),AMZN,"-60,767","-59,174","-59,323","-62,052","-63,755"
Cash Flow from Operations(In $M),AMZN,"77,826","98,944","121,802","146,926","171,646"
Cash Flow from Financing(In $M),AMZN,368,"-7,468","-5,035",0,-
Cash Flow per Share(In $),AMZN,7.60,9.55,11.49,13.90,15.85
Free Cash Flow(In $M),AMZN,"20,180","38,889","61,546","86,796","105,642"
Free Cash Flow per Share(In $),AMZN,1.74,3.13,5.94,8.70,11.20
Book Value per Share(In $),AMZN,18.00,22.37,29.05,32.40,39.10
Net Debt(In $M),AMZN,"-4,966","-35,860","-87,013","-144,067","-222,089"
Research & Development Exp.(In $M),AMZN,"79,025","87,382","96,982","98,440","112,913"
Capital Expenditure(In $M),AMZN,"58,157","60,997","61,658","65,600","66,634"
"Selling, General & Admin. Exp.(In $M)",AMZN,"236,732","261,070","274,444",-,-
Shareholder’s Equity(In $M),AMZN,"183,302","225,467","289,698","371,237","470,690"
Total Assets(In $M),AMZN,"504,538","555,063","628,123","731,756","853,821"
