,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SYY,"76,593","79,858","82,810","87,295","90,787"
Dividend,SYY,1.97,2.06,2.12,-,-
Dividend Yield (in %),SYY,2.64 %,2.78 %,2.89 %,-,-
EPS,SYY,4.01,4.51,4.91,5.33,5.81
P/E Ratio,SYY,18.82,16.74,15.37,14.15,12.98
EBIT(In $M),SYY,"3,192","3,516","3,812","4,101","4,417"
EBITDA(In $M),SYY,"3,951","4,316","4,651","4,979","5,329"
Net Profit(In $M),SYY,"2,017","2,266","2,486","2,685","2,926"
Net Profit Adjusted(In $M),SYY,"2,038","2,261","2,465","2,685","2,926"
Pre-Tax Profit(In $M),SYY,"2,612","2,958","3,267",-,-
Net Profit (Adjusted)(In $M),SYY,"2,572","2,978","3,367",-,-
EPS (Non-GAAP) ex. SOE(In $),SYY,4.01,4.51,4.91,5.33,5.81
EPS (GAAP)(In $),SYY,3.47,4.51,4.99,-,-
Gross Income(In $M),SYY,"13,975","14,722","15,292",-,-
Cash Flow from Investing(In $M),SYY,-812,"-1,225",-875,-,-
Cash Flow from Operations(In $M),SYY,"2,681","3,146","3,455",-,-
Cash Flow from Financing(In $M),SYY,"-1,388","-1,768","-1,578",-,-
Cash Flow per Share(In $),SYY,5.19,6.08,6.51,-,-
Free Cash Flow(In $M),SYY,"1,909","2,314","2,635","3,071","3,310"
Free Cash Flow per Share(In $),SYY,4.29,4.85,-,-,-
Book Value per Share(In $),SYY,3.91,5.77,7.89,-,-
Net Debt(In $M),SYY,"10,025","9,823","8,479",-,-
Research & Development Exp.(In $M),SYY,-,-,-,-,-
Capital Expenditure(In $M),SYY,754,910,894,873,908
"Selling, General & Admin. Exp.(In $M)",SYY,"10,794","11,107","11,524",-,-
Shareholder’s Equity(In $M),SYY,"1,784","2,474","3,245",-,-
Total Assets(In $M),SYY,"23,338","24,367",-,-,-
