,ticker,ttm,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total revenue(figures in $M),SYY,73580.18,68636.146,51297.843,52893.31,60113.922
Cost of revenue(figures in $M),SYY,60284.043,56315.622,41941.094,42991.646,48704.935
Gross profit(figures in $M),SYY,13296.137,12320.524,9356.749,9901.664,11408.987
Total operating expenses(figures in $M),SYY,10658.718,9981.489,7919.507,9152.159,9078.837
Operating income or loss(figures in $M),SYY,2637.419,2339.035,1437.242,749.505,2330.15
Interest expense(figures in $M),SYY,508.722,623.643,880.137,408.22,360.423
Total other income/expenses net(figures in $M),SYY,-327.952,31.381,27.623,-47.901,36.109
Income before tax(figures in $M),SYY,1800.745,1746.773,584.728,293.384,2005.836
Income tax expense(figures in $M),SYY,380.647,388.005,60.519,77.909,331.565
Income from continuing operations(figures in $M),SYY,1420.098,1358.768,524.209,215.475,1674.271
Net income(figures in $M),SYY,1420.098,1358.768,524.209,215.475,1674.271
Net income available to common shareholders(figures in $M),SYY,1420.098,1358.768,524.209,215.475,1674.271
Basic EPS(figures in $M),SYY,,2.66e-06,1.03e-06,4.2e-07,3.2400000000000003e-06
Diluted EPS(figures in $M),SYY,,2.64e-06,1.02e-06,4.2e-07,3.2000000000000003e-06
Basic average shares(figures in $M),SYY,,510.631,510.696,510.121,516.891
Diluted average shares(figures in $M),SYY,,514.006,513.555,514.026,523.381
EBITDA(figures in $M),SYY,,3251.349,2316.687,1615.745,3130.194
