,ticker,2023,2024,2025
Revenue(In $M),WU,"4,124","4,093","4,106"
Dividend,WU,0.95,0.98,1.00
Dividend Yield (in %),WU,9.20 %,9.50 %,9.78 %
EPS,WU,1.61,1.67,1.76
P/E Ratio,WU,7.29,7.05,6.68
EBIT(In $M),WU,809,816,821
EBITDA(In $M),WU,999,"1,002","1,003"
Net Profit(In $M),WU,596,605,613
Net Profit Adjusted(In $M),WU,606,610,611
Pre-Tax Profit(In $M),WU,724,733,736
Net Profit (Adjusted)(In $M),WU,734,738,767
EPS (Non-GAAP) ex. SOE(In $),WU,1.61,1.67,1.76
EPS (GAAP)(In $),WU,1.59,1.67,1.75
Gross Income(In $M),WU,"1,678","1,728","1,786"
Cash Flow from Investing(In $M),WU,-172,92,92
Cash Flow from Operations(In $M),WU,522,752,818
Cash Flow from Financing(In $M),WU,-605,-575,-604
Cash Flow per Share(In $),WU,1.68,2.18,2.48
Free Cash Flow(In $M),WU,383,616,705
Free Cash Flow per Share(In $),WU,3.36,-,-
Book Value per Share(In $),WU,1.53,1.71,1.57
Net Debt(In $M),WU,"1,201","1,200","1,194"
Research & Development Exp.(In $M),WU,-,-,-
Capital Expenditure(In $M),WU,217,211,200
"Selling, General & Admin. Exp.(In $M)",WU,870,868,893
Shareholder’s Equity(In $M),WU,633,812,615
Total Assets(In $M),WU,"8,284","8,467","8,248"
