,ticker,2023,2024,2025,2026
Revenue(In $M),MO,"20,915","21,190","21,438","21,944"
Dividend,MO,3.85,4.04,4.25,4.35
Dividend Yield (in %),MO,8.23 %,8.63 %,9.06 %,9.14 %
EPS,MO,5.05,5.27,5.57,5.69
P/E Ratio,MO,9.36,8.97,8.48,8.31
EBIT(In $M),MO,"12,392","12,778","13,121","12,881"
EBITDA(In $M),MO,"12,651","13,045","13,352","13,105"
Net Profit(In $M),MO,"8,932","9,265","9,599","9,733"
Net Profit Adjusted(In $M),MO,"8,945","9,300","9,610","9,733"
Pre-Tax Profit(In $M),MO,"11,888","12,339","12,735","12,788"
Net Profit (Adjusted)(In $M),MO,"11,798","12,392","12,828",-
EPS (Non-GAAP) ex. SOE(In $),MO,5.05,5.27,5.57,5.69
EPS (GAAP)(In $),MO,4.92,5.28,5.60,-
Gross Income(In $M),MO,"14,394","14,608","14,629",-
Cash Flow from Investing(In $M),MO,-427,-445,-463,-
Cash Flow from Operations(In $M),MO,"8,884","9,097","9,422",-
Cash Flow from Financing(In $M),MO,"-8,097","-8,995","-9,711",-
Cash Flow per Share(In $),MO,4.70,5.17,5.47,-
Free Cash Flow(In $M),MO,"8,638","8,641","8,526","8,671"
Free Cash Flow per Share(In $),MO,-,-,-,-
Book Value per Share(In $),MO,-1.76,-1.50,-0.97,-
Net Debt(In $M),MO,"21,906","21,310","20,356","21,423"
Research & Development Exp.(In $M),MO,-,-,-,-
Capital Expenditure(In $M),MO,222,233,244,226
"Selling, General & Admin. Exp.(In $M)",MO,"1,867","1,792",-,-
Shareholder’s Equity(In $M),MO,"-3,019","-2,503","-2,177",-
Total Assets(In $M),MO,"37,471","37,944","38,372",-
