,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MAT,5434.687,5434.7,5457.7,4583.7,4504.6
Cost of revenue(figures in $M),MAT,2953.335,2953.3,2831.1,2340.1,2523.8
Gross profit(figures in $M),MAT,2481.352,2481.4,2626.7,2243.6,1980.8
Selling general and administrative(figures in $M),MAT,1805.837,1805.9,1897.1,1862.7,1941.5
Total operating expenses(figures in $M),MAT,1805.837,1805.9,1897.1,1862.7,1941.5
Operating income or loss(figures in $M),MAT,675.515,675.5,729.6,380.9,39.3
Interest expense(figures in $M),MAT,132.818,132.8,253.9,198.3,201.0
Total other income/expenses net(figures in $M),MAT,-47.76,-47.8,-8.4,-2.7,-2.6
Income before tax(figures in $M),MAT,504.335,504.3,470.8,183.8,-158.3
Income tax expense(figures in $M),MAT,135.851,135.9,-420.4,68.6,55.2
Income from continuing operations(figures in $M),MAT,393.913,393.8,903.0,126.7,-213.5
Net income(figures in $M),MAT,393.913,393.9,903.0,126.6,-213.5
Net income available to common shareholders(figures in $M),MAT,393.913,393.9,903.0,126.6,-213.5
Basic EPS(figures in $M),MAT,,,2.58e-06,3.6e-07,-6.3e-07
Diluted EPS(figures in $M),MAT,,,2.53e-06,3.5e-07,-6.3e-07
Basic average shares(figures in $M),MAT,,,350.007,347.463,346.127
Diluted average shares(figures in $M),MAT,,,357.253,349.116,346.127
EBITDA(figures in $M),MAT,,637.1,724.7,382.1,42.7
