,2022,2021,2020,2019,2018,ticker
Current ratio,2.298,1.798,1.832,1.761,1.878,MAT
Quick ratio,1.365,1.129,1.325,1.227,1.249,MAT
Cash ratio,0.641,0.458,0.562,0.493,0.475,MAT
Days of sales outstanding,57.772,71.740,82.337,75.875,78.495,MAT
Days of inventory outstanding,110.502,100.201,80.281,71.661,72.955,MAT
Operating cycle,168.274,171.941,162.618,147.536,151.450,MAT
Days of payables outstanding,142.154,202.503,207.027,177.727,72.293,MAT
Cash conversion cycle,26.120,-30.562,-44.409,-30.192,79.157,MAT
Gross profit margin,0.457,0.481,0.489,0.440,0.398,MAT
Operating profit margin,0.084,0.099,0.040,-0.045,-0.053,MAT
Pretax profit margin,0.093,0.086,0.040,-0.035,-0.093,MAT
Net profit margin,0.072,0.165,0.028,-0.047,-0.118,MAT
Effective tax rate,0.269,-0.893,0.373,-0.349,-0.266,MAT
Return on assets,0.064,0.141,0.023,-0.040,-0.101,MAT
Return on equity,0.192,0.576,0.212,-0.434,-0.793,MAT
Return on capital employed,0.091,0.113,0.044,-0.050,-0.059,MAT
Net income per EBT,0.781,1.918,0.689,1.349,1.266,MAT
Ebt per ebit,1.109,0.871,1.009,0.784,1.766,MAT
Ebit per revenue,0.084,0.099,0.040,-0.045,-0.053,MAT
Debt ratio,0.667,0.755,0.892,0.908,0.872,MAT
Debt equity ratio,1.300,1.820,5.207,6.491,4.266,MAT
Long term debt to capitalization,0.558,0.645,0.839,0.864,0.810,MAT
Total debt to capitalization,0.565,0.645,0.839,0.867,0.810,MAT
Interest coverage,3.426,2.128,0.919,-1.004,-1.305,MAT
Cash flow to debt ratio,0.166,0.170,0.093,0.057,-0.010,MAT
Company equity multiplier,3.004,4.076,9.259,10.830,7.832,MAT
Receivables turnover,6.318,5.088,4.433,4.811,4.650,MAT
Payables turnover,2.568,1.802,1.763,2.054,5.049,MAT
Inventory turnover,3.303,3.643,4.547,5.093,5.003,MAT
Fixed asset turnover,6.899,6.984,5.989,5.279,6.860,MAT
Asset turnover,0.880,0.854,0.830,0.846,0.860,MAT
Operating cash flow per share,1.275,1.386,0.832,0.523,-0.079,MAT
Free cash flow per share,0.738,0.953,0.482,0.187,-0.521,MAT
Cash per share,2.191,2.090,2.194,1.820,1.723,MAT
Payout ratio,0,0,0,0,0,MAT
Operating cash flow sales ratio,0.082,0.089,0.063,0.040,-0.006,MAT
Free cash flow operating cash flow ratio,0.579,0.688,0.579,0.357,6.579,MAT
Cash flow coverage ratios,0.166,0.170,0.093,0.057,-0.010,MAT
Short term coverage ratios,5.883,0,289,2.444,-6.541,MAT
Capital expenditure coverage ratio,-2.375,-3.204,-2.377,-1.556,0.179,MAT
Dividend paid and capex coverage ratio,-2.375,-3.204,-2.377,-1.556,0.179,MAT
Dividend payout ratio,0,0,0,0,0,MAT
Price book value ratio,3.015,4.810,10.168,9.538,5.148,MAT
Price to book ratio,3.015,4.810,10.168,9.538,5.148,MAT
Price to sales ratio,1.141,1.383,1.323,1.041,0.764,MAT
Price earnings ratio,15.739,8.357,47.893,-21.967,-6.491,MAT
Price to free cash flows ratio,24.169,22.617,36.220,72.547,-19.176,MAT
Price to operating cash flows ratio,13.994,15.559,20.980,25.912,-126.169,MAT
Price cash flow ratio,13.994,15.559,20.980,25.912,-126.169,MAT
Price earnings to growth ratio,-0.280,0.014,0.303,-0.368,-0.130,MAT
Price sales ratio,1.141,1.383,1.323,1.041,0.764,MAT
Dividend yield,0,0,0,0,0,MAT
Enterprise value multiple,12.612,13.343,22.000,168.097,165.175,MAT
Price fair value,3.015,4.810,10.168,9.538,5.148,MAT
