,2023,2022,2021,2019,2018,ticker
Current ratio,2.105,1.984,1.345,1.788,1.598,PKI
Quick ratio,0.681,1.335,0.944,1.193,1.030,PKI
Cash ratio,0.290,0.503,0.236,0.250,0.211,PKI
Days of sales outstanding,67.535,73.746,116.279,91.790,83.126,PKI
Days of inventory outstanding,111.947,102.903,112.272,87.578,85.937,PKI
Operating cycle,179.483,176.650,228.552,179.368,169.063,PKI
Days of payables outstanding,75.327,58.551,71.418,57.869,56.119,PKI
Cash conversion cycle,104.156,118.098,157.133,121.498,112.944,PKI
Gross profit margin,0.601,0.563,0.558,0.484,0.483,PKI
Operating profit margin,0.224,0.263,0.259,0.126,0.117,PKI
Pretax profit margin,0.197,0.253,0.240,0.082,0.093,PKI
Net profit margin,0.175,0.184,0.192,0.079,0.086,PKI
Effective tax rate,0.198,0.272,0.197,0.040,0.078,PKI
Return on assets,0.041,0.062,0.091,0.035,0.040,PKI
Return on equity,0.078,0.131,0.195,0.081,0.092,PKI
Return on capital employed,0.059,0.097,0.155,0.063,0.062,PKI
Net income per EBT,0.889,0.728,0.803,0.960,0.923,PKI
Ebt per ebit,0.878,0.961,0.926,0.655,0.796,PKI
Ebit per revenue,0.224,0.263,0.259,0.126,0.117,PKI
Debt ratio,0.477,0.525,0.534,0.570,0.567,PKI
Debt equity ratio,0.617,0.725,0.583,0.789,0.732,PKI
Long term debt to capitalization,0.356,0.420,0.325,0.440,0.420,PKI
Total debt to capitalization,0.382,0.420,0.368,0.441,0.423,PKI
Interest coverage,7.144,13.046,19.685,5.689,4.836,PKI
Cash flow to debt ratio,0.149,0.273,0.409,0.164,0.164,PKI
Company equity multiplier,1.911,2.106,2.144,2.326,2.312,PKI
Receivables turnover,5.405,4.949,3.139,3.976,4.391,PKI
Payables turnover,4.846,6.234,5.111,6.307,6.504,PKI
Inventory turnover,3.260,3.547,3.251,4.168,4.247,PKI
Fixed asset turnover,4.933,6.726,6.573,5.940,8.720,PKI
Asset turnover,0.234,0.337,0.472,0.441,0.465,PKI
Operating cash flow per share,5.383,12.144,8.001,3.280,2.813,PKI
Free cash flow per share,4.704,11.284,7.306,2.546,1.970,PKI
Cash per share,3.597,5.323,3.605,1.731,1.475,PKI
Payout ratio,0.061,0.035,0.043,0.136,0.130,PKI
Operating cash flow sales ratio,0.205,0.278,0.236,0.126,0.112,PKI
Free cash flow operating cash flow ratio,0.874,0.929,0.913,0.776,0.700,PKI
Cash flow coverage ratios,0.149,0.273,0.409,0.164,0.164,PKI
Short term coverage ratios,1.444,332.724,2.342,36.442,19.639,PKI
Capital expenditure coverage ratio,-7.939,-14.123,-11.511,-4.469,-3.335,PKI
Dividend paid and capex coverage ratio,-13.518,-20.895,-19.272,-7.230,-4.997,PKI
Dividend payout ratio,0.061,0.035,0.043,0.136,0.130,PKI
Price book value ratio,2.396,3.131,4.344,3.807,3.360,PKI
Price to book ratio,2.396,3.131,4.344,3.807,3.360,PKI
Price to sales ratio,5.347,4.406,4.290,3.715,3.126,PKI
Price earnings ratio,30.577,23.952,22.292,47.076,36.501,PKI
Price to free cash flows ratio,29.806,17.032,19.918,37.969,39.877,PKI
Price to operating cash flows ratio,26.051,15.826,18.187,29.473,27.921,PKI
Price cash flow ratio,26.051,15.826,18.187,29.473,27.921,PKI
Price earnings to growth ratio,-0.703,0.976,0.103,-11.246,0.725,PKI
Price sales ratio,5.347,4.406,4.290,3.715,3.126,PKI
Dividend yield,0.002,0.001,0.002,0.003,0.004,PKI
Enterprise value multiple,18.205,15.399,14.872,21.996,20.679,PKI
Price fair value,2.396,3.131,4.344,3.807,3.360,PKI
