,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PKI,"2,948","3,247","3,547","3,776",-
Dividend,PKI,0.28,0.28,0.28,-,-
Dividend Yield (in %),PKI,0.23 %,0.23 %,0.23 %,-,-
EPS,PKI,5.09,6.07,7.01,8.50,10.54
P/E Ratio,PKI,25.64,21.50,18.61,15.36,12.38
EBIT(In $M),PKI,890,"1,016","1,143","1,219",-
EBITDA(In $M),PKI,961,"1,089","1,200","1,292",-
Net Profit(In $M),PKI,639,755,872,943,-
Net Profit Adjusted(In $M),PKI,639,755,872,943,-
Pre-Tax Profit(In $M),PKI,795,945,"1,085","1,150",-
Net Profit (Adjusted)(In $M),PKI,673,822,925,-,-
EPS (Non-GAAP) ex. SOE(In $),PKI,5.09,6.08,7.01,8.50,10.54
EPS (GAAP)(In $),PKI,3.42,4.57,5.34,-,-
Gross Income(In $M),PKI,"1,857","2,067","2,286","2,482",-
Cash Flow from Investing(In $M),PKI,"1,447",-81,-93,-,-
Cash Flow from Operations(In $M),PKI,"1,097",809,897,-,-
Cash Flow from Financing(In $M),PKI,-578,"-1,094",-401,-,-
Cash Flow per Share(In $),PKI,7.18,6.57,7.53,-,-
Free Cash Flow(In $M),PKI,"1,019",728,804,-,-
Free Cash Flow per Share(In $),PKI,5.01,5.63,6.69,-,-
Book Value per Share(In $),PKI,66.60,69.61,69.60,-,-
Net Debt(In $M),PKI,"1,414",959,764,-,-
Research & Development Exp.(In $M),PKI,233,252,268,261,-
Capital Expenditure(In $M),PKI,81,84,96,-,-
"Selling, General & Admin. Exp.(In $M)",PKI,756,813,892,885,-
Shareholder’s Equity(In $M),PKI,"8,416","8,729","8,647",-,-
Total Assets(In $M),PKI,"14,923","14,307","13,544",-,-
