,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PKI,3311.822,3311.822,5067.169,3782.745,2883.673
Cost of revenue(figures in $M),PKI,1321.992,1321.992,2215.869,1672.868,1487.618
Gross profit(figures in $M),PKI,1989.83,1989.83,2851.3,2109.877,1396.055
Research development(figures in $M),PKI,221.617,221.617,274.969,205.389,189.336
Selling general and administrative(figures in $M),PKI,1025.514,1025.514,1227.521,917.894,815.318
Total operating expenses(figures in $M),PKI,1247.131,1247.131,1502.49,1123.283,1004.654
Operating income or loss(figures in $M),PKI,742.699,742.699,1348.81,986.594,391.401
Interest expense(figures in $M),PKI,103.955,103.955,102.128,49.712,63.627
Total other income/expenses net(figures in $M),PKI,9.504,9.504,30.963,-31.528,-92.127
Income before tax(figures in $M),PKI,651.837,651.837,1279.886,906.364,237.142
Income tax expense(figures in $M),PKI,139.161,129.161,347.603,178.266,9.389
Income from continuing operations(figures in $M),PKI,512.676,522.676,932.283,728.098,227.753
Net income(figures in $M),PKI,569.179,579.179,932.157,727.887,227.558
Net income available to common shareholders(figures in $M),PKI,569.179,579.179,932.157,727.887,227.558
Basic EPS(figures in $M),PKI,,4.59e-06,8.119999999999998e-06,6.519999999999999e-06,2.06e-06
Diluted EPS(figures in $M),PKI,,4.58e-06,8.08e-06,6.4900000000000005e-06,2.04e-06
Basic average shares(figures in $M),PKI,,126.3,116.165,111.514,110.827
Diluted average shares(figures in $M),PKI,,126.426,116.674,112.085,111.501
EBITDA(figures in $M),PKI,,1182.792,1740.018,1202.583,514.794
