,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),EOG,29492.0,29492.0,19669.0,9873.24,16941.727
Cost of revenue(figures in $M),EOG,5494.0,5494.0,5345.0,4922.938,5595.799
Gross profit(figures in $M),EOG,23998.0,23998.0,14324.0,4950.302,11345.928
Selling general and administrative(figures in $M),EOG,7105.0,7105.0,4684.0,3181.552,5840.921
Total operating expenses(figures in $M),EOG,9742.0,9742.0,6711.0,4492.392,7432.909
Operating income or loss(figures in $M),EOG,14256.0,14256.0,7613.0,457.91,3913.019
Interest expense(figures in $M),EOG,179.0,179.0,178.0,205.266,185.129
Total other income/expenses net(figures in $M),EOG,-4176.0,-4176.0,-1502.0,-991.698,-182.623
Income before tax(figures in $M),EOG,9901.0,9901.0,5933.0,-739.054,3545.267
Income tax expense(figures in $M),EOG,2142.0,2142.0,1269.0,-134.482,810.357
Income from continuing operations(figures in $M),EOG,7759.0,7759.0,4664.0,-604.572,2734.91
Net income(figures in $M),EOG,7759.0,7759.0,4664.0,-604.572,2734.91
Net income available to common shareholders(figures in $M),EOG,7759.0,7759.0,4664.0,-604.572,2734.91
Basic EPS(figures in $M),EOG,,,8.03e-06,-1.04e-06,4.7300000000000005e-06
Diluted EPS(figures in $M),EOG,,,7.99e-06,-1.04e-06,4.71e-06
Basic average shares(figures in $M),EOG,,,581.0,579.0,578.0
Diluted average shares(figures in $M),EOG,,,584.0,579.0,581.0
EBITDA(figures in $M),EOG,,10990.0,9762.0,2866.565,7480.1
