,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EOG,"21,433","23,384","23,299","22,392","23,345"
Dividend,EOG,6.29,7.53,7.21,-,-
Dividend Yield (in %),EOG,6.82 %,6.79 %,4.45 %,-,-
EPS,EOG,11.86,12.95,12.55,12.84,12.26
P/E Ratio,EOG,9.39,8.60,8.87,8.67,9.08
EBIT(In $M),EOG,"9,386","10,235","9,564","9,240","9,574"
EBITDA(In $M),EOG,"12,996","14,278","14,014","14,557","13,808"
Net Profit(In $M),EOG,"7,005","7,639","7,291","7,173","7,271"
Net Profit Adjusted(In $M),EOG,"6,987","7,624","7,332","7,170","7,237"
Pre-Tax Profit(In $M),EOG,"8,901","9,771","9,347","9,098","9,220"
Net Profit (Adjusted)(In $M),EOG,"8,757","9,421","9,135",-,-
EPS (Non-GAAP) ex. SOE(In $),EOG,11.86,12.95,12.55,12.84,12.26
EPS (GAAP)(In $),EOG,12.04,13.19,12.24,11.96,11.84
Gross Income(In $M),EOG,"16,426","17,642","17,040",-,-
Cash Flow from Investing(In $M),EOG,"-6,102","-6,349","-6,619","-6,901","-7,178"
Cash Flow from Operations(In $M),EOG,"11,407","12,433","12,256","12,551","12,529"
Cash Flow from Financing(In $M),EOG,"-3,738","-3,398","-3,309","-2,890","-2,337"
Cash Flow per Share(In $),EOG,19.04,20.93,20.93,21.93,20.58
Free Cash Flow(In $M),EOG,"5,130","5,652","4,992","4,915",-
Free Cash Flow per Share(In $),EOG,7.21,8.64,9.38,-,-
Book Value per Share(In $),EOG,48.00,53.39,58.68,-,-
Net Debt(In $M),EOG,"-2,569","-3,991","-4,547",-,-
Research & Development Exp.(In $M),EOG,-,-,-,-,-
Capital Expenditure(In $M),EOG,"5,986","6,275","6,598","7,229","6,836"
"Selling, General & Admin. Exp.(In $M)",EOG,-,-,-,-,-
Shareholder’s Equity(In $M),EOG,"28,362","31,902","34,356","37,713","39,701"
Total Assets(In $M),EOG,"44,115","48,035","51,098","55,495","61,079"
