,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),DIS,84415.0,82722.0,67418.0,65388.0,69570.0
Cost of revenue(figures in $M),DIS,56220.0,75952.0,63759.0,61594.0,57719.0
Gross profit(figures in $M),DIS,28195.0,6770.0,3659.0,3794.0,11851.0
Selling general and administrative(figures in $M),DIS,16428.0,16388.0,13517.0,12369.0,11541.0
Total operating expenses(figures in $M),DIS,21628.0,21551.0,18628.0,17714.0,15701.0
Operating income or loss(figures in $M),DIS,6567.0,6770.0,3659.0,3794.0,11851.0
Interest expense(figures in $M),DIS,1653.0,1397.0,1406.0,1491.0,978.0
Total other income/expenses net(figures in $M),DIS,259.0,-88.0,308.0,-4046.0,3071.0
Income before tax(figures in $M),DIS,5370.0,5285.0,2561.0,-1743.0,13944.0
Income tax expense(figures in $M),DIS,1656.0,1732.0,25.0,699.0,3031.0
Income from continuing operations(figures in $M),DIS,3714.0,3553.0,2536.0,-2442.0,10913.0
Net income(figures in $M),DIS,3320.0,3145.0,1995.0,-2864.0,11054.0
Net income available to common shareholders(figures in $M),DIS,3320.0,3145.0,1995.0,-2864.0,11054.0
Basic EPS(figures in $M),DIS,,1.73e-06,1.1e-06,-1.5800000000000001e-06,6.6799999999999996e-06
Diluted EPS(figures in $M),DIS,,1.72e-06,1.0900000000000002e-06,-1.5800000000000001e-06,6.64e-06
Basic average shares(figures in $M),DIS,,1822.0,1816.0,1808.0,1656.0
Diluted average shares(figures in $M),DIS,,1827.0,1828.0,1808.0,1666.0
EBITDA(figures in $M),DIS,,11845.0,9078.0,5093.0,16011.0
