,2023,2022,2021,2020,2019,ticker
Current ratio,1.178,1.234,2.399,1.507,1.164,STZ
Quick ratio,0.349,0.407,0.982,0.409,0.430,STZ
Cash ratio,0.045,0.074,0.363,0.035,0.030,STZ
Days of sales outstanding,34.814,37.201,33.272,37.832,57.021,STZ
Days of inventory outstanding,147.969,139.597,113.585,119.612,192.679,STZ
Operating cycle,182.783,176.797,146.857,157.444,249.700,STZ
Days of payables outstanding,73.373,79.790,40.469,48.555,55.776,STZ
Cash conversion cycle,109.410,97.008,106.388,108.888,193.924,STZ
Gross profit margin,0.505,0.534,0.518,0.498,0.503,STZ
Operating profit margin,0.301,0.264,0.324,0.258,0.297,STZ
Pretax profit margin,0.041,0.035,0.295,-0.113,0.511,STZ
Net profit margin,-0.004,0.000,0.232,0.003,0.423,STZ
Effective tax rate,1.100,0.997,0.201,1.023,0.165,STZ
Return on assets,-0.002,0.000,0.074,0.001,0.118,STZ
Return on equity,-0.005,0.000,0.147,0.002,0.274,STZ
Return on capital employed,0.131,0.101,0.108,0.086,0.093,STZ
Net income per EBT,-0.100,0.003,0.786,-0.023,0.829,STZ
Ebt per ebit,0.135,0.133,0.911,-0.439,1.718,STZ
Ebit per revenue,0.301,0.264,0.324,0.258,0.297,STZ
Debt ratio,0.646,0.534,0.486,0.543,0.561,STZ
Debt equity ratio,1.481,0.888,0.768,1.004,1.085,STZ
Long term debt to capitalization,0.573,0.447,0.434,0.480,0.484,STZ
Total debt to capitalization,0.597,0.470,0.434,0.501,0.520,STZ
Interest coverage,7.130,6.542,7.236,5.026,6.571,STZ
Cash flow to debt ratio,0.221,0.260,0.269,0.209,0.165,STZ
Company equity multiplier,2.931,2.204,1.993,2.252,2.329,STZ
Receivables turnover,10.484,9.812,10.970,9.648,6.401,STZ
Payables turnover,4.975,4.575,9.019,7.517,6.544,STZ
Inventory turnover,2.467,2.615,3.213,3.052,1.894,STZ
Fixed asset turnover,1.377,1.456,1.480,1.565,1.608,STZ
Asset turnover,0.383,0.341,0.318,0.305,0.278,STZ
Operating cash flow per share,14.318,14.190,14.508,13.312,11.787,STZ
Free cash flow per share,8.941,8.804,10.038,9.521,7.136,STZ
Cash per share,0.693,1.046,2.381,0.425,0.491,STZ
Payout ratio,-15.265,573,0.288,26.598,0.162,STZ
Operating cash flow sales ratio,0.292,0.307,0.326,0.306,0.277,STZ
Free cash flow operating cash flow ratio,0.624,0.620,0.692,0.715,0.605,STZ
Cash flow coverage ratios,0.221,0.260,0.269,0.209,0.165,STZ
Short term coverage ratios,2.347,2.914,96.113,2.620,1.210,STZ
Capital expenditure coverage ratio,-2.663,-2.635,-3.246,-3.511,-2.534,STZ
Dividend paid and capex coverage ratio,-6.158,-5.962,-9.691,-16.218,-6.836,STZ
Dividend payout ratio,-15.265,573,0.288,26.598,0.162,STZ
Price book value ratio,5.119,3.504,3.098,2.723,2.568,STZ
Price to book ratio,5.119,3.504,3.098,2.723,2.568,STZ
Price to sales ratio,4.557,4.661,4.890,3.959,3.972,STZ
Price earnings ratio,-1.119 K,41.109 K,21.083,1.544 K,9.382,STZ
Price to free cash flows ratio,25.020,24.490,21.692,18.105,23.704,STZ
Price to operating cash flows ratio,15.623,15.195,15.009,12.949,14.351,STZ
Price cash flow ratio,15.623,15.195,15.009,12.949,14.351,STZ
Price earnings to growth ratio,0.284,-411.297,0.002,-15.531,0.182,STZ
Price sales ratio,4.557,4.661,4.890,3.959,3.972,STZ
Dividend yield,0.014,0.014,0.014,0.017,0.017,STZ
Enterprise value multiple,17.169,15.399,16.837,15.801,9.490,STZ
Price fair value,5.119,3.504,3.098,2.723,2.568,STZ
