,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),STZ,"9,473","10,010","10,679","11,369","11,889","12,866"
Dividend,STZ,3.18,3.52,3.78,4.11,2.47,5.50
Dividend Yield (in %),STZ,1.48 %,1.59 %,1.70 %,2.10 %,2.28 %,-
EPS,STZ,10.61,11.61,13.24,14.92,16.35,-
P/E Ratio,STZ,20.97,19.17,16.81,14.92,13.61,-
EBIT(In $M),STZ,"2,989","3,217","3,540","3,863","4,027","4,304"
EBITDA(In $M),STZ,"3,371","3,657","4,018","4,379","4,610",-
Net Profit(In $M),STZ,"1,973","2,131","2,404","2,658","2,783","3,038"
Net Profit Adjusted(In $M),STZ,"1,973","2,133","2,408","2,674","2,783","3,038"
Pre-Tax Profit(In $M),STZ,"2,514","2,693","3,042","3,372","3,509","3,811"
Net Profit (Adjusted)(In $M),STZ,"2,599","2,690","3,035","3,293","3,561",-
EPS (Non-GAAP) ex. SOE(In $),STZ,10.61,11.61,13.24,14.92,16.35,-
EPS (GAAP)(In $),STZ,10.85,11.70,13.31,15.01,16.26,18.05
Gross Income(In $M),STZ,"4,866","5,121","5,524","5,927","6,280","6,663"
Cash Flow from Investing(In $M),STZ,"-1,069","-1,257","-1,545","-1,180","-1,456","-1,287"
Cash Flow from Operations(In $M),STZ,"2,788","2,929","3,011","3,213","3,347","3,597"
Cash Flow from Financing(In $M),STZ,"-1,846",-871,"-1,575","-2,378","-2,443","-2,611"
Cash Flow per Share(In $),STZ,14.36,13.87,16.54,17.47,18.93,-
Free Cash Flow(In $M),STZ,"1,564","1,373","1,702","2,147",-,-
Free Cash Flow per Share(In $),STZ,8.75,7.23,9.21,14.87,-,-
Book Value per Share(In $),STZ,48.98,53.05,59.86,65.70,72.67,-
Net Debt(In $M),STZ,"12,295","12,210","12,306","12,201","10,575",-
Research & Development Exp.(In $M),STZ,-,-,-,-,-,-
Capital Expenditure(In $M),STZ,"1,127","1,271","1,530","1,157","1,136","1,287"
"Selling, General & Admin. Exp.(In $M)",STZ,"1,850","1,895","2,000","2,098","2,245","2,359"
Shareholder’s Equity(In $M),STZ,"9,118","10,324","10,885","11,286","12,410","12,241"
Total Assets(In $M),STZ,"24,694","26,440","27,037","27,664","28,282","28,860"
