,ticker,2023,2024,2025,2026,2027
Revenue(In $M),VNO,"1,863","1,856","2,022","1,999","2,056"
Dividend,VNO,1.58,1.57,1.62,1.50,1.50
Dividend Yield (in %),VNO,9.43 %,8.50 %,9.24 %,6.15 %,-
EPS,VNO,-0.06,-0.18,-0.05,-,-
P/E Ratio,VNO,-215.44,-77.51,-288.08,-,-
EBIT(In $M),VNO,312,320,303,314,328
EBITDA(In $M),VNO,844,855,917,-,-
Net Profit(In $M),VNO,-16,-31,-3,41,37
Net Profit Adjusted(In $M),VNO,23,22,83,41,37
Pre-Tax Profit(In $M),VNO,19,-1,42,57,53
Net Profit (Adjusted)(In $M),VNO,-192,-431,-184,-,-
EPS (Non-GAAP) ex. SOE(In $),VNO,-0.02,-0.33,-0.19,-,-
EPS (GAAP)(In $),VNO,0.10,0.00,0.16,-,-
Gross Income(In $M),VNO,813,849,908,825,856
Cash Flow from Investing(In $M),VNO,-266,-717,-667,-,-
Cash Flow from Operations(In $M),VNO,466,392,431,-,-
Cash Flow from Financing(In $M),VNO,-378,-180,70,-,-
Cash Flow per Share(In $),VNO,2.21,2.19,2.50,-,-
Free Cash Flow(In $M),VNO,620,587,634,-,-
Free Cash Flow per Share(In $),VNO,-,-,-,-,-
Book Value per Share(In $),VNO,28.12,26.78,25.36,-,-
Net Debt(In $M),VNO,"8,125","8,452","8,718","10,668","10,883"
Research & Development Exp.(In $M),VNO,-,-,-,-,-
Capital Expenditure(In $M),VNO,205,219,232,223,209
"Selling, General & Admin. Exp.(In $M)",VNO,130,132,135,-,-
Shareholder’s Equity(In $M),VNO,"6,089","5,728","5,502",-,-
Total Assets(In $M),VNO,"15,964","15,725","15,706",-,-
