,ticker,2023,2024,2025,2026,2027
Revenue(In $M),COP,"66,721","67,371",-,-,-
Dividend,COP,3.33,2.90,3.32,2.55,-
Dividend Yield (in %),COP,3.04 %,2.80 %,3.08 %,2.50 %,-
EPS,COP,9.64,10.44,9.41,9.57,10.79
P/E Ratio,COP,10.11,9.33,10.35,10.18,9.04
EBIT(In $M),COP,"18,546","19,318","16,597","16,319","18,564"
EBITDA(In $M),COP,"27,023","27,700","25,582","25,002","26,100"
Net Profit(In $M),COP,"11,898","12,651","10,866","11,101","11,879"
Net Profit Adjusted(In $M),COP,"11,786","12,616","10,866","11,101","11,879"
Pre-Tax Profit(In $M),COP,"18,005","18,748","16,290","15,701","17,986"
Net Profit (Adjusted)(In $M),COP,"18,236","18,290","15,270",-,-
EPS (Non-GAAP) ex. SOE(In $),COP,9.64,10.44,9.41,9.57,10.79
EPS (GAAP)(In $),COP,9.85,10.69,9.46,9.93,10.79
Gross Income(In $M),COP,"33,926","34,004",-,-,-
Cash Flow from Investing(In $M),COP,"-9,256","-9,966","-9,419","-11,849","-11,901"
Cash Flow from Operations(In $M),COP,"22,751","23,104","21,322","20,449","21,852"
Cash Flow from Financing(In $M),COP,"-9,670","-8,647","-7,206","-5,891","-5,967"
Cash Flow per Share(In $),COP,18.18,19.29,18.34,18.00,19.25
Free Cash Flow(In $M),COP,"12,030","11,715","9,552","7,775",-
Free Cash Flow per Share(In $),COP,8.08,9.74,11.70,-,-
Book Value per Share(In $),COP,40.69,44.75,48.65,-,-
Net Debt(In $M),COP,"8,564","6,509","4,672",-,-
Research & Development Exp.(In $M),COP,-,-,-,-,-
Capital Expenditure(In $M),COP,"11,052","11,195","11,324","12,025","11,901"
"Selling, General & Admin. Exp.(In $M)",COP,699,715,739,791,852
Shareholder’s Equity(In $M),COP,"48,864","52,366","56,047","58,512","61,815"
Total Assets(In $M),COP,"97,070","101,012","109,291","118,922","127,935"
