,ticker,2023,2024,2025,2026
Revenue(In $M),BEN,"6,157","6,351","6,692","1,898"
Dividend,BEN,1.20,1.28,1.34,0.33
Dividend Yield (in %),BEN,4.43 %,4.68 %,4.95 %,-
EPS,BEN,2.34,2.56,2.80,0.96
P/E Ratio,BEN,10.74,9.83,8.97,26.18
EBIT(In $M),BEN,"1,768","1,954","1,899",692
EBITDA(In $M),BEN,"1,834","2,026","2,190",754
Net Profit(In $M),BEN,"1,152","1,258","1,368",517
Net Profit Adjusted(In $M),BEN,"1,171","1,299","1,443",460
Pre-Tax Profit(In $M),BEN,"1,714","1,816","1,958",698
Net Profit (Adjusted)(In $M),BEN,"1,611","1,769",-,-
EPS (Non-GAAP) ex. SOE(In $),BEN,2.34,2.56,2.80,0.96
EPS (GAAP)(In $),BEN,2.07,2.41,2.69,0.95
Gross Income(In $M),BEN,-,-,-,-
Cash Flow from Investing(In $M),BEN,-,-,-,-
Cash Flow from Operations(In $M),BEN,"1,884","1,950",-,-
Cash Flow from Financing(In $M),BEN,-,-,-,-
Cash Flow per Share(In $),BEN,3.11,3.52,3.92,1.46
Free Cash Flow(In $M),BEN,"1,055","1,126",-,-
Free Cash Flow per Share(In $),BEN,2.99,3.28,-,-
Book Value per Share(In $),BEN,24.19,25.07,27.27,29.04
Net Debt(In $M),BEN,"-1,039","-1,396","-5,997",-
Research & Development Exp.(In $M),BEN,480,500,514,133
Capital Expenditure(In $M),BEN,0,0,-,-
"Selling, General & Admin. Exp.(In $M)",BEN,"6,201","6,132",-,-
Shareholder’s Equity(In $M),BEN,"13,237","12,732","13,884","14,214"
Total Assets(In $M),BEN,"28,832","29,157","30,366","31,762"
