,ticker,ttm,2022-06-30,2021-04-30,2020-04-30
Total revenue(figures in $M),HRB,3458.22,3463.27,3413.987,2639.72
Cost of revenue(figures in $M),HRB,1918.606,1300.494,1842.092,1712.276
Gross profit(figures in $M),HRB,1539.614,2162.776,1571.895,927.444
Selling general and administrative(figures in $M),HRB,839.333,697.406,802.268,744.361
Total operating expenses(figures in $M),HRB,834.959,1417.879,802.268,744.361
Operating income or loss(figures in $M),HRB,704.655,744.897,769.627,183.083
Interest expense(figures in $M),HRB,77.176,88.282,106.87,96.094
Total other income/expenses net(figures in $M),HRB,8.499,2.454,5.979,-90.363
Income before tax(figures in $M),HRB,635.978,659.069,668.736,-3.374
Income tax expense(figures in $M),HRB,124.544,98.423,78.524,-9.53
Income from continuing operations(figures in $M),HRB,511.434,560.646,590.212,6.156
Net income(figures in $M),HRB,503.88,553.674,583.791,-7.526
Net income available to common shareholders(figures in $M),HRB,503.88,553.674,583.791,-7.526
Basic EPS(figures in $M),HRB,,3.27e-06,3.11e-06,-4e-08
Diluted EPS(figures in $M),HRB,,3.22e-06,3.08e-06,-4e-08
Basic average shares(figures in $M),HRB,,168.519,186.832,196.701
Diluted average shares(figures in $M),HRB,,171.435,188.777,198.108
EBITDA(figures in $M),HRB,,889.529,932.458,262.256
