,2022,2021,2020,2019,2018,ticker
Current ratio,1.386,1.461,1.959,2.160,2.242,HRB
Quick ratio,1.148,1.260,1.774,1.854,2.020,HRB
Cash ratio,0.886,0.803,1.689,1.703,1.831,HRB
Days of sales outstanding,27.537,56.797,18.417,16.389,18.376,HRB
Days of inventory outstanding,0,0,0,0,0,HRB
Operating cycle,27.537,56.797,18.417,16.389,18.376,HRB
Days of payables outstanding,45.167,39.249,43.295,51.839,52.865,HRB
Cash conversion cycle,-17.629,17.548,-24.877,-35.450,-34.489,HRB
Gross profit margin,0.624,0.460,0.351,0.432,0.449,HRB
Operating profit margin,0.216,0.227,0.075,0.204,0.240,HRB
Pretax profit margin,0.190,0.196,-0.001,0.176,0.212,HRB
Net profit margin,0.160,0.171,0.002,0.137,0.194,HRB
Effective tax rate,0.149,0.117,2.825,0.183,0.063,HRB
Return on assets,0.169,0.160,0.001,0.128,0.195,HRB
Return on equity,2.616,1.657,0.087,0.780,1.557,HRB
Return on capital employed,0.329,0.311,0.056,0.266,0.330,HRB
Net income per EBT,0.840,0.873,-1.825,0.775,0.917,HRB
Ebt per ebit,0.882,0.862,-0.017,0.862,0.882,HRB
Ebit per revenue,0.216,0.227,0.075,0.204,0.240,HRB
Debt ratio,0.935,0.904,0.986,0.836,0.875,HRB
Debt equity ratio,9.085,5.502,56.353,2.756,3.799,HRB
Long term debt to capitalization,0.890,0.831,0.978,0.734,0.792,HRB
Total debt to capitalization,0.901,0.846,0.983,0.734,0.792,HRB
Interest coverage,8.465,7.257,2.068,7.263,8.484,HRB
Cash flow to debt ratio,0.421,0.323,0.027,0.406,0.568,HRB
Company equity multiplier,15.447,10.368,71.959,6.094,7.978,HRB
Receivables turnover,13.255,6.426,19.818,22.271,19.863,HRB
Payables turnover,8.081,9.300,8.431,7.041,6.904,HRB
Inventory turnover,0,0,0,0,0,HRB
Fixed asset turnover,6.278,5.829,3.887,14.592,13.627,HRB
Asset turnover,1.059,0.934,0.516,0.938,1.006,HRB
Operating cash flow per share,4.798,3.350,0.554,2.953,4.070,HRB
Free cash flow per share,4.430,3.068,0.139,2.488,3.598,HRB
Cash per share,5.252,5.000,13.533,7.655,7.398,HRB
Payout ratio,0.337,0.334,33.280,0.486,0.327,HRB
Operating cash flow sales ratio,0.233,0.183,0.041,0.196,0.269,HRB
Free cash flow operating cash flow ratio,0.923,0.916,0.250,0.843,0.884,HRB
Cash flow coverage ratios,0.421,0.323,0.027,0.406,0.568,HRB
Short term coverage ratios,3.908,3.033,0.129,0,828.463,HRB
Capital expenditure coverage ratio,-13.050,-11.856,-1.334,-6.352,-8.622,HRB
Dividend paid and capex coverage ratio,6.493,4.399,0.885,5.515,8.343,HRB
Dividend payout ratio,0.337,0.334,33.280,0.486,0.327,HRB
Price book value ratio,28.125,11.802,46.101,10.319,14.666,HRB
Price to book ratio,28.125,11.802,46.101,10.319,14.666,HRB
Price to sales ratio,1.719,1.218,1.241,1.806,1.827,HRB
Price earnings ratio,10.750,7.124,532.013,13.226,9.417,HRB
Price to free cash flows ratio,7.972,7.256,120.072,10.935,7.684,HRB
Price to operating cash flows ratio,7.362,6.644,30.057,9.213,6.793,HRB
Price cash flow ratio,7.362,6.644,30.057,9.213,6.793,HRB
Price earnings to growth ratio,2.090,0.001,-5.403,-0.440,0.179,HRB
Price sales ratio,1.719,1.218,1.241,1.806,1.827,HRB
Dividend yield,0.031,0.047,0.063,0.037,0.035,HRB
Enterprise value multiple,7.858,5.538,12.536,6.895,6.080,HRB
Price fair value,28.125,11.802,46.101,10.319,14.666,HRB
