,ticker,2023,2024,2025
Revenue(In $M),HRB,"3,536","3,623","3,595"
Dividend,HRB,1.16,1.16,1.16
Dividend Yield (in %),HRB,3.28 %,3.28 %,3.28 %
EPS,HRB,3.83,4.16,4.10
P/E Ratio,HRB,8.49,7.81,7.92
EBIT(In $M),HRB,810,825,845
EBITDA(In $M),HRB,920,-,940
Net Profit(In $M),HRB,-,-,589
Net Profit Adjusted(In $M),HRB,-,641,625
Pre-Tax Profit(In $M),HRB,-,779,755
Net Profit (Adjusted)(In $M),HRB,-,-,-
EPS (Non-GAAP) ex. SOE(In $),HRB,3.83,4.16,4.10
EPS (GAAP)(In $),HRB,3.50,3.93,-
Gross Income(In $M),HRB,-,-,-
Cash Flow from Investing(In $M),HRB,-83,-,-
Cash Flow from Operations(In $M),HRB,581,-,-
Cash Flow from Financing(In $M),HRB,-705,-,-
Cash Flow per Share(In $),HRB,2.83,-,-
Free Cash Flow(In $M),HRB,658,694,-
Free Cash Flow per Share(In $),HRB,3.77,4.04,-
Book Value per Share(In $),HRB,3.39,4.24,-
Net Debt(In $M),HRB,939,782,597
Research & Development Exp.(In $M),HRB,-,-,-
Capital Expenditure(In $M),HRB,83,-,-
"Selling, General & Admin. Exp.(In $M)",HRB,-,-,-
Shareholder’s Equity(In $M),HRB,220,-,-
Total Assets(In $M),HRB,"3,667",-,-
