,ticker,2023,2024,2025
Revenue(In $M),COF,"36,913","38,167","40,270"
Dividend,COF,2.49,2.59,3.00
Dividend Yield (in %),COF,2.64 %,2.72 %,2.91 %
EPS,COF,12.04,14.25,16.57
P/E Ratio,COF,7.12,6.01,5.17
EBIT(In $M),COF,"17,006","17,693",-
EBITDA(In $M),COF,-,-,-
Net Profit(In $M),COF,"4,648","5,286","5,541"
Net Profit Adjusted(In $M),COF,"4,671","5,288","5,659"
Pre-Tax Profit(In $M),COF,"6,078","6,945","7,396"
Net Profit (Adjusted)(In $M),COF,"5,970","7,285",-
EPS (Non-GAAP) ex. SOE(In $),COF,12.04,14.25,16.57
EPS (GAAP)(In $),COF,12.29,14.29,16.25
Gross Income(In $M),COF,-,-,-
Cash Flow from Investing(In $M),COF,-,-,-
Cash Flow from Operations(In $M),COF,-,-,-
Cash Flow from Financing(In $M),COF,-,-,-
Cash Flow per Share(In $),COF,-,-,-
Free Cash Flow(In $M),COF,-,-,-
Free Cash Flow per Share(In $),COF,-,-,-
Book Value per Share(In $),COF,150.13,164.48,182.22
Net Debt(In $M),COF,-,-,-
Research & Development Exp.(In $M),COF,-,-,-
Capital Expenditure(In $M),COF,-,-,-
"Selling, General & Admin. Exp.(In $M)",COF,-,-,-
Shareholder’s Equity(In $M),COF,"57,313","60,550","65,419"
Total Assets(In $M),COF,"477,460","491,156","526,574"
