,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),JCI,25505.0,25299.0,23668.0,22317.0,23968.0
Cost of revenue(figures in $M),JCI,16962.0,16956.0,15609.0,14906.0,16275.0
Gross profit(figures in $M),JCI,8543.0,8343.0,8059.0,7411.0,7693.0
Selling general and administrative(figures in $M),JCI,6147.0,5945.0,5258.0,5665.0,6244.0
Total operating expenses(figures in $M),JCI,6147.0,5945.0,5258.0,5665.0,6244.0
Operating income or loss(figures in $M),JCI,2396.0,2398.0,2801.0,1746.0,1449.0
Interest expense(figures in $M),JCI,239.0,213.0,206.0,231.0,350.0
Total other income/expenses net(figures in $M),JCI,-743.0,-475.0,19.0,-612.0,-43.0
Income before tax(figures in $M),JCI,1390.0,1710.0,2614.0,903.0,1056.0
Income tax expense(figures in $M),JCI,-70.0,-13.0,868.0,108.0,-233.0
Income from continuing operations(figures in $M),JCI,1460.0,1723.0,1746.0,795.0,1289.0
Net income(figures in $M),JCI,1269.0,1532.0,1637.0,631.0,5674.0
Net income available to common shareholders(figures in $M),JCI,1269.0,1532.0,1637.0,631.0,5674.0
Basic EPS(figures in $M),JCI,,2.2e-06,2.2799999999999998e-06,8.4e-07,6.519999999999999e-06
Diluted EPS(figures in $M),JCI,,1.91e-06,2.27e-06,8.4e-07,6.4900000000000005e-06
Basic average shares(figures in $M),JCI,,696.1,716.6,751.0,870.2
Diluted average shares(figures in $M),JCI,,699.6,721.1,753.6,874.3
EBITDA(figures in $M),JCI,,2753.0,3665.0,1340.0,2231.0
