,ticker,2023,2024,2025,2026
Revenue(In $M),JCI,"26,884","28,229","29,628","31,963"
Dividend,JCI,1.39,1.51,1.78,-
Dividend Yield (in %),JCI,2.19 %,2.37 %,2.66 %,-
EPS,JCI,3.51,4.02,4.57,5.13
P/E Ratio,JCI,16.65,14.55,12.82,11.42
EBIT(In $M),JCI,"3,266","3,639","4,020","4,320"
EBITDA(In $M),JCI,"4,111","4,502","4,732","4,740"
Net Profit(In $M),JCI,"2,405","2,732","3,032","3,251"
Net Profit Adjusted(In $M),JCI,"2,405","2,732","3,032","3,251"
Pre-Tax Profit(In $M),JCI,"2,975","3,408","3,787","4,150"
Net Profit (Adjusted)(In $M),JCI,"2,847","3,324","3,634",-
EPS (Non-GAAP) ex. SOE(In $),JCI,3.51,4.02,4.57,5.13
EPS (GAAP)(In $),JCI,3.17,3.98,4.50,4.98
Gross Income(In $M),JCI,"9,303","9,785","10,563","11,493"
Cash Flow from Investing(In $M),JCI,-595,-595,-505,-
Cash Flow from Operations(In $M),JCI,"2,629","3,313","3,662","4,208"
Cash Flow from Financing(In $M),JCI,"-1,653","-2,413","-2,537",-
Cash Flow per Share(In $),JCI,4.04,4.84,5.47,-
Free Cash Flow(In $M),JCI,"2,044","2,732","3,012","3,352"
Free Cash Flow per Share(In $),JCI,2.94,3.97,4.58,5.23
Book Value per Share(In $),JCI,25.40,26.69,27.80,-
Net Debt(In $M),JCI,"7,272","7,009","6,920","5,095"
Research & Development Exp.(In $M),JCI,-,-,-,-
Capital Expenditure(In $M),JCI,593,604,642,780
"Selling, General & Admin. Exp.(In $M)",JCI,"6,216","6,401","6,744","7,391"
Shareholder’s Equity(In $M),JCI,"17,173","17,658","18,110","18,647"
Total Assets(In $M),JCI,"42,588","43,087","42,586","46,828"
