,2022,2021,2020,2019,2018,ticker
Current ratio,1.040,1.099,1.219,1.366,1.051,JCI
Quick ratio,0.673,0.764,0.878,0.945,0.646,JCI
Cash ratio,0.181,0.147,0.237,0.309,0.018,JCI
Days of sales outstanding,79.755,86.562,86.585,87.869,82.125,JCI
Days of inventory outstanding,54.031,48.101,43.415,40.683,53.441,JCI
Operating cycle,133.786,134.663,130.000,128.552,135.566,JCI
Days of payables outstanding,91.293,87.596,76.399,80.334,76.978,JCI
Cash conversion cycle,42.493,47.066,53.601,48.218,58.587,JCI
Gross profit margin,0.330,0.341,0.332,0.321,0.299,JCI
Operating profit margin,0.105,0.129,0.086,0.068,0.107,JCI
Pretax profit margin,0.068,0.110,0.040,0.044,0.092,JCI
Net profit margin,0.061,0.069,0.028,0.054,0.069,JCI
Effective tax rate,-0.008,0.332,0.120,-0.221,0.179,JCI
Return on assets,0.036,0.039,0.015,0.030,0.044,JCI
Return on equity,0.094,0.093,0.036,0.065,0.102,JCI
Return on capital employed,0.086,0.093,0.059,0.049,0.090,JCI
Net income per EBT,0.896,0.626,0.699,1.221,0.745,JCI
Ebt per ebit,0.647,0.854,0.471,0.644,0.861,JCI
Ebit per revenue,0.105,0.129,0.086,0.068,0.107,JCI
Debt ratio,0.587,0.552,0.546,0.507,0.540,JCI
Debt equity ratio,0.551,0.441,0.448,0.365,0.520,JCI
Long term debt to capitalization,0.313,0.299,0.301,0.253,0.313,JCI
Total debt to capitalization,0.355,0.306,0.309,0.268,0.342,JCI
Interest coverage,12.413,14.864,8.299,4.689,7.712,JCI
Cash flow to debt ratio,0.222,0.321,0.125,0.167,0.229,JCI
Company equity multiplier,2.591,2.385,2.339,2.139,2.306,JCI
Receivables turnover,4.577,4.217,4.216,4.154,4.444,JCI
Payables turnover,3.998,4.167,4.778,4.544,4.742,JCI
Inventory turnover,6.755,7.588,8.407,8.972,6.830,JCI
Fixed asset turnover,8.317,7.332,7.296,7.159,5.088,JCI
Asset turnover,0.600,0.565,0.547,0.567,0.643,JCI
Operating cash flow per share,2.853,3.471,1.298,1.381,2.715,JCI
Free cash flow per share,2.003,2.700,1.170,0.708,1.602,JCI
Cash per share,2.918,1.864,2.598,3.223,0.216,JCI
Payout ratio,0.598,0.465,0.307,0.714,0.441,JCI
Operating cash flow sales ratio,0.079,0.105,0.044,0.050,0.080,JCI
Free cash flow operating cash flow ratio,0.702,0.778,0.902,0.512,0.590,JCI
Cash flow coverage ratios,0.222,0.321,0.125,0.167,0.229,JCI
Short term coverage ratios,1.295,10.628,3.328,2.352,1.874,JCI
Capital expenditure coverage ratio,-3.355,-4.505,-10.156,-2.051,-2.440,JCI
Dividend paid and capex coverage ratio,6.130,11.843,9.949,3.599,-33.066,JCI
Dividend payout ratio,0.598,0.465,0.307,0.714,0.441,JCI
Price book value ratio,2.106,2.778,1.758,1.932,1.539,JCI
Price to book ratio,2.106,2.778,1.758,1.932,1.539,JCI
Price to sales ratio,1.354,2.061,1.375,1.594,1.037,JCI
Price earnings ratio,22.364,29.802,48.619,29.630,15.063,JCI
Price to free cash flows ratio,24.578,25.212,34.901,62.002,21.960,JCI
Price to operating cash flows ratio,17.252,19.616,31.465,31.775,12.959,JCI
Price cash flow ratio,17.252,19.616,31.465,31.775,12.959,JCI
Price earnings to growth ratio,-6.374,0.174,-1.124,-0.809,0.423,JCI
Price sales ratio,1.354,2.061,1.375,1.594,1.037,JCI
Dividend yield,0.027,0.016,0.006,0.024,0.029,JCI
Enterprise value multiple,11.857,14.126,17.214,17.278,10.319,JCI
Price fair value,2.106,2.778,1.758,1.932,1.539,JCI
