,ticker,2023,2024,2025
Revenue(In $M),BTU,"5,082","4,221","3,799"
Dividend,BTU,0.70,1.19,1.84
Dividend Yield (in %),BTU,-,-,-
EPS,BTU,6.29,3.67,1.72
P/E Ratio,BTU,3.51,6.01,12.82
EBIT(In $M),BTU,"1,229",532,171
EBITDA(In $M),BTU,"1,513","1,035",733
Net Profit(In $M),BTU,"1,006",447,98
Net Profit Adjusted(In $M),BTU,"1,065",460,98
Pre-Tax Profit(In $M),BTU,"1,131",464,108
Net Profit (Adjusted)(In $M),BTU,-,-,-
EPS (Non-GAAP) ex. SOE(In $),BTU,6.29,3.67,1.72
EPS (GAAP)(In $),BTU,6.96,2.72,0.07
Gross Income(In $M),BTU,-,-,-
Cash Flow from Investing(In $M),BTU,-328,-237,-
Cash Flow from Operations(In $M),BTU,"1,413",736,-
Cash Flow from Financing(In $M),BTU,-71,-42,-
Cash Flow per Share(In $),BTU,8.77,4.56,-
Free Cash Flow(In $M),BTU,915,479,97
Free Cash Flow per Share(In $),BTU,7.07,3.94,2.65
Book Value per Share(In $),BTU,4.43,-,-
Net Debt(In $M),BTU,"-1,282","-1,738",-
Research & Development Exp.(In $M),BTU,-,-,-
Capital Expenditure(In $M),BTU,318,272,279
"Selling, General & Admin. Exp.(In $M)",BTU,90,89,93
Shareholder’s Equity(In $M),BTU,"4,241","4,734",-
Total Assets(In $M),BTU,"6,492","6,986",-
