,ticker,ttm,2022-04-30,2021-04-30,2020-04-30
Total revenue(figures in $M),MDT,30771.0,31686.0,30117.0,28913.0
Cost of revenue(figures in $M),MDT,10331.0,10145.0,10483.0,9424.0
Gross profit(figures in $M),MDT,20440.0,21541.0,19634.0,19489.0
Research development(figures in $M),MDT,2707.0,2746.0,2493.0,2331.0
Selling general and administrative(figures in $M),MDT,10368.0,10292.0,10148.0,10109.0
Total operating expenses(figures in $M),MDT,14741.0,15633.0,14739.0,14267.0
Operating income or loss(figures in $M),MDT,5699.0,5908.0,4895.0,5222.0
Interest expense(figures in $M),MDT,592.0,553.0,925.0,1092.0
Total other income/expenses net(figures in $M),MDT,307.0,163.0,-75.0,-75.0
Income before tax(figures in $M),MDT,5415.0,5517.0,3895.0,4055.0
Income tax expense(figures in $M),MDT,1328.0,456.0,265.0,-751.0
Income from continuing operations(figures in $M),MDT,4087.0,5062.0,3630.0,4806.0
Net income(figures in $M),MDT,4064.0,5039.0,3606.0,4789.0
Net income available to common shareholders(figures in $M),MDT,4064.0,5039.0,3606.0,4789.0
Basic EPS(figures in $M),MDT,,3.75e-06,2.68e-06,3.5699999999999997e-06
Diluted EPS(figures in $M),MDT,,3.73e-06,2.66e-06,3.54e-06
Basic average shares(figures in $M),MDT,,1342.4,1344.9,1340.7
Diluted average shares(figures in $M),MDT,,1351.4,1354.0,1351.1
EBITDA(figures in $M),MDT,,8777.0,7522.0,7810.0
