,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MDT,"30,937","32,279","33,758","35,633","37,297"
Dividend,MDT,2.59,2.69,2.78,2.91,-
Dividend Yield (in %),MDT,3.33 %,3.50 %,3.60 %,3.86 %,-
EPS,MDT,-,5.22,5.68,6.25,6.85
P/E Ratio,MDT,17.09,17.40,15.98,14.52,13.24
EBIT(In $M),MDT,"8,185","8,353","8,969","9,120","10,478"
EBITDA(In $M),MDT,"9,277",-,"9,846","10,876",-
Net Profit(In $M),MDT,"7,015","6,908","7,462","8,074","8,749"
Net Profit Adjusted(In $M),MDT,"7,015","6,908","7,462","8,074","8,749"
Pre-Tax Profit(In $M),MDT,"8,104","8,065","8,727","9,382","10,263"
Net Profit (Adjusted)(In $M),MDT,"6,718","6,938","7,767",-,-
EPS (Non-GAAP) ex. SOE(In $),MDT,-,5.22,5.68,6.25,6.85
EPS (GAAP)(In $),MDT,3.36,3.87,4.57,5.07,5.51
Gross Income(In $M),MDT,"20,593","21,338","22,465","23,776","25,141"
Cash Flow from Investing(In $M),MDT,"-2,688","-1,479","-1,521","-1,481","-1,565"
Cash Flow from Operations(In $M),MDT,"7,056","6,339","7,612","7,013","7,564"
Cash Flow from Financing(In $M),MDT,"-2,661","-4,019","-4,241","-4,801","-4,471"
Cash Flow per Share(In $),MDT,5.39,5.95,6.69,-,-
Free Cash Flow(In $M),MDT,"5,119","5,170","5,980","7,041","5,999"
Free Cash Flow per Share(In $),MDT,3.50,4.07,4.68,4.15,4.50
Book Value per Share(In $),MDT,39.52,39.57,40.72,-,-
Net Debt(In $M),MDT,"18,457","16,965","13,683","12,370",-
Research & Development Exp.(In $M),MDT,"2,664","2,769","2,884","3,044","3,197"
Capital Expenditure(In $M),MDT,"1,405","1,381","1,526","1,371","1,565"
"Selling, General & Admin. Exp.(In $M)",MDT,"10,135","10,345","10,699","11,073","11,456"
Shareholder’s Equity(In $M),MDT,"52,998","53,572","55,142","54,483","55,721"
Total Assets(In $M),MDT,"93,892","95,069","96,835","97,239","98,787"
