,2022,2021,2020,2019,2018,ticker
Current ratio,1.813,1.553,1.862,1.300,1.131,TSN
Quick ratio,0.679,0.776,0.796,0.482,0.396,TSN
Cash ratio,0.194,0.396,0.335,0.088,0.054,TSN
Days of sales outstanding,17.653,18.619,16.498,18.704,15.702,TSN
Days of inventory outstanding,43.176,39.470,40.014,40.110,36.713,TSN
Operating cycle,60.829,58.089,56.512,58.814,52.415,TSN
Days of payables outstanding,19.443,20.041,18.114,18.805,17.703,TSN
Cash conversion cycle,41.387,38.047,38.398,40.009,34.712,TSN
Gross profit margin,0.125,0.139,0.125,0.118,0.128,TSN
Operating profit margin,0.083,0.093,0.072,0.067,0.076,TSN
Pretax profit margin,0.078,0.086,0.064,0.057,0.069,TSN
Net profit margin,0.061,0.065,0.050,0.048,0.076,TSN
Effective tax rate,0.217,0.243,0.224,0.163,-0.103,TSN
Return on assets,0.088,0.084,0.062,0.061,0.104,TSN
Return on equity,0.164,0.172,0.138,0.144,0.236,TSN
Return on capital employed,0.140,0.147,0.102,0.102,0.127,TSN
Net income per EBT,0.780,0.754,0.773,0.832,1.102,TSN
Ebt per ebit,0.941,0.919,0.890,0.860,0.899,TSN
Ebit per revenue,0.083,0.093,0.072,0.067,0.076,TSN
Debt ratio,0.462,0.508,0.551,0.570,0.560,TSN
Debt equity ratio,0.422,0.527,0.733,0.847,0.771,TSN
Long term debt to capitalization,0.285,0.318,0.411,0.411,0.383,TSN
Total debt to capitalization,0.297,0.345,0.423,0.459,0.435,TSN
Interest coverage,12.082,10.271,6.421,6.119,8.729,TSN
Cash flow to debt ratio,0.323,0.411,0.342,0.211,0.300,TSN
Company equity multiplier,1.869,2.049,2.246,2.350,2.274,TSN
Receivables turnover,20.676,19.604,22.123,19.514,23.246,TSN
Payables turnover,18.773,18.213,20.150,19.410,20.617,TSN
Inventory turnover,8.454,9.248,9.122,9.100,9.942,TSN
Fixed asset turnover,6.135,6.003,5.685,5.823,6.492,TSN
Asset turnover,1.447,1.296,1.243,1.281,1.376,TSN
Operating cash flow per share,7.464,10.579,10.672,6.923,8.118,TSN
Free cash flow per share,2.222,7.248,7.369,3.455,4.830,TSN
Cash per share,2.864,6.906,3.912,1.333,0.740,TSN
Payout ratio,0.202,0.209,0.281,0.266,0.143,TSN
Operating cash flow sales ratio,0.050,0.082,0.090,0.059,0.074,TSN
Free cash flow operating cash flow ratio,0.298,0.685,0.691,0.499,0.595,TSN
Cash flow coverage ratios,0.323,0.411,0.342,0.211,0.300,TSN
Short term coverage ratios,5.854,3.599,7.069,1.196,1.550,TSN
Capital expenditure coverage ratio,-1.424,-3.176,-3.231,-1.996,-2.469,TSN
Dividend paid and capex coverage ratio,-2.177,-6.702,-6.478,-3.481,-3.853,TSN
Dividend payout ratio,0.202,0.209,0.281,0.266,0.143,TSN
Price book value ratio,1.205,1.604,1.392,2.196,1.697,TSN
Price to book ratio,1.205,1.604,1.392,2.196,1.697,TSN
Price to sales ratio,0.445,0.604,0.499,0.729,0.543,TSN
Price earnings ratio,7.330,9.329,10.061,15.296,7.185,TSN
Price to free cash flows ratio,29.669,10.804,8.048,24.663,12.325,TSN
Price to operating cash flows ratio,8.833,7.403,5.557,12.307,7.333,TSN
Price cash flow ratio,8.833,7.403,5.557,12.307,7.333,TSN
Price earnings to growth ratio,1.030,0.194,2.432,-0.448,0.101,TSN
Price sales ratio,0.445,0.604,0.499,0.729,0.543,TSN
Dividend yield,0.028,0.022,0.028,0.017,0.020,TSN
Enterprise value multiple,5.428,6.206,7.072,10.618,7.765,TSN
Price fair value,1.205,1.604,1.392,2.196,1.697,TSN
