,ticker,2023,2024,2025,2026,2027
Revenue(In $M),LLY,-,"36,977","43,695","49,620","54,755"
Dividend,LLY,4.41,4.94,5.51,7.46,8.44
Dividend Yield (in %),LLY,1.35 %,1.51 %,1.70 %,2.28 %,2.58 %
EPS,LLY,-,11.94,16.03,18.96,22.11
P/E Ratio,LLY,46.97,35.34,26.32,22.26,19.09
EBIT(In $M),LLY,"8,983","12,546","16,741","19,373","22,796"
EBITDA(In $M),LLY,"10,401","13,998","18,388","20,628","23,807"
Net Profit(In $M),LLY,"7,722","10,759","14,344","16,489","19,584"
Net Profit Adjusted(In $M),LLY,"7,753","10,808","14,419","16,489","19,584"
Pre-Tax Profit(In $M),LLY,"8,783","12,267","16,424","19,319","22,878"
Net Profit (Adjusted)(In $M),LLY,"8,857","12,124","16,311","14,710","15,510"
EPS (Non-GAAP) ex. SOE(In $),LLY,-,11.94,16.03,18.96,22.11
EPS (GAAP)(In $),LLY,8.30,11.59,15.95,19.77,23.71
Gross Income(In $M),LLY,"24,325","29,079","34,218","38,789","42,798"
Cash Flow from Investing(In $M),LLY,"-1,703","-2,070","-2,377","-2,859","-3,184"
Cash Flow from Operations(In $M),LLY,"9,088","10,599","13,482","16,180","19,048"
Cash Flow from Financing(In $M),LLY,"-5,289","-5,556","-6,325","-7,711","-8,681"
Cash Flow per Share(In $),LLY,9.41,11.65,15.24,14.24,-
Free Cash Flow(In $M),LLY,"7,013","9,044","12,221","23,657","28,239"
Free Cash Flow per Share(In $),LLY,5.25,7.02,10.89,-,-
Book Value per Share(In $),LLY,14.21,19.32,27.85,32.98,27.57
Net Debt(In $M),LLY,-,-,-,"2,699",-
Research & Development Exp.(In $M),LLY,"8,329","9,115","9,835","10,689","11,177"
Capital Expenditure(In $M),LLY,"1,745","1,904","2,066","2,014","2,141"
"Selling, General & Admin. Exp.(In $M)",LLY,"7,083","7,777","8,565","9,008","9,609"
Shareholder’s Equity(In $M),LLY,"13,547","18,390","25,450","35,318","45,784"
Total Assets(In $M),LLY,"51,946","57,433","64,606","73,466","82,476"
