,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CCI,6986.0,6986.0,6340.0,5840.0,5773.0
Cost of revenue(figures in $M),CCI,2068.0,2068.0,1993.0,1969.0,1991.0
Gross profit(figures in $M),CCI,4918.0,4918.0,4347.0,3871.0,3782.0
Selling general and administrative(figures in $M),CCI,750.0,750.0,680.0,678.0,614.0
Total operating expenses(figures in $M),CCI,2457.0,2457.0,2324.0,1924.0,2188.0
Operating income or loss(figures in $M),CCI,2461.0,2461.0,2023.0,1947.0,1594.0
Interest expense(figures in $M),CCI,673.0,699.0,657.0,689.0,683.0
Total other income/expenses net(figures in $M),CCI,-74.0,-74.0,-188.0,-184.0,-33.0
Income before tax(figures in $M),CCI,1691.0,1691.0,1179.0,1076.0,884.0
Income tax expense(figures in $M),CCI,16.0,16.0,21.0,20.0,21.0
Income from continuing operations(figures in $M),CCI,1675.0,1675.0,1158.0,1056.0,863.0
Net income(figures in $M),CCI,1675.0,1675.0,1096.0,1056.0,863.0
Net income available to common shareholders(figures in $M),CCI,1675.0,1675.0,1096.0,999.0,750.0
Basic EPS(figures in $M),CCI,,,2.5400000000000002e-06,2.36e-06,1.8000000000000001e-06
Diluted EPS(figures in $M),CCI,,,2.53e-06,2.35e-06,1.79e-06
Basic average shares(figures in $M),CCI,,,432.0,423.0,416.0
Diluted average shares(figures in $M),CCI,,,434.0,425.0,418.0
EBITDA(figures in $M),CCI,,4097.0,3480.0,3373.0,3141.0
