,ticker,ttm,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Total revenue(figures in $M),CAG,12040.9,11535.9,11184.7,11054.4,9538.4
Cost of revenue(figures in $M),CAG,8987.7,8697.1,8005.5,7984.8,6885.4
Gross profit(figures in $M),CAG,3053.2,2838.8,3179.2,3069.6,2653.0
Selling general and administrative(figures in $M),CAG,1951.6,1492.8,1403.0,1622.5,1473.4
Total operating expenses(figures in $M),CAG,1951.6,1492.8,1403.0,1622.5,1473.4
Operating income or loss(figures in $M),CAG,1101.6,1346.0,1776.2,1447.1,1179.6
Interest expense(figures in $M),CAG,391.2,379.9,420.4,487.1,391.4
Total other income/expenses net(figures in $M),CAG,47.3,67.3,54.5,9.9,35.1
Income before tax(figures in $M),CAG,760.7,1033.4,1410.3,969.9,823.3
Income tax expense(figures in $M),CAG,273.5,290.5,193.8,201.3,218.8
Income from continuing operations(figures in $M),CAG,681.3,888.2,1300.9,841.8,680.3
Net income(figures in $M),CAG,681.7,888.2,1298.8,840.1,678.3
Net income available to common shareholders(figures in $M),CAG,681.7,888.2,1298.8,840.1,678.3
Basic EPS(figures in $M),CAG,,1.85e-06,2.67e-06,1.72e-06,1.53e-06
Diluted EPS(figures in $M),CAG,,1.8400000000000002e-06,2.66e-06,1.72e-06,1.52e-06
Basic average shares(figures in $M),CAG,,480.3,485.8,487.3,444.0
Diluted average shares(figures in $M),CAG,,482.2,487.8,488.6,445.6
EBITDA(figures in $M),CAG,,1788.7,2218.4,1845.9,1547.7
