,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CAG,"12,351","12,550","12,691","13,018","13,204"
Dividend,CAG,1.30,1.35,1.38,1.36,1.59
Dividend Yield (in %),CAG,3.66 %,3.78 %,3.87 %,-,-
EPS,CAG,2.75,2.86,3.00,3.18,3.22
P/E Ratio,CAG,13.86,13.32,12.72,11.99,11.85
EBIT(In $M),CAG,"1,940","2,048","2,107","2,209","2,240"
EBITDA(In $M),CAG,"2,372","2,473","2,527","2,687","2,766"
Net Profit(In $M),CAG,"1,290","1,359","1,417","1,512","1,495"
Net Profit Adjusted(In $M),CAG,"1,320","1,364","1,424","1,512","1,495"
Pre-Tax Profit(In $M),CAG,"1,636","1,733","1,822","1,893","1,985"
Net Profit (Adjusted)(In $M),CAG,"1,554","1,686","1,765","1,830","1,854"
EPS (Non-GAAP) ex. SOE(In $),CAG,2.75,2.86,3.00,3.18,3.22
EPS (GAAP)(In $),CAG,2.30,2.83,2.99,3.18,3.22
Gross Income(In $M),CAG,"3,312","3,489","3,558","3,785",-
Cash Flow from Investing(In $M),CAG,-78,-177,-190,-449,-
Cash Flow from Operations(In $M),CAG,"1,522","2,078","2,172","2,380",-
Cash Flow from Financing(In $M),CAG,-753,"-1,243","-1,012",-778,-
Cash Flow per Share(In $),CAG,2.96,3.88,4.06,3.90,3.74
Free Cash Flow(In $M),CAG,"1,092","1,488","1,588","1,930",-
Free Cash Flow per Share(In $),CAG,2.06,3.36,3.62,4.03,-
Book Value per Share(In $),CAG,18.93,20.17,21.43,21.94,22.98
Net Debt(In $M),CAG,"8,700","8,156","7,609","7,970","7,828"
Research & Development Exp.(In $M),CAG,-,-,-,-,-
Capital Expenditure(In $M),CAG,377,497,490,455,462
"Selling, General & Admin. Exp.(In $M)",CAG,"1,271","1,333","1,362","1,564",-
Shareholder’s Equity(In $M),CAG,"9,029","9,586","10,145","11,108","10,682"
Total Assets(In $M),CAG,"22,663","23,011","23,499","25,929",-
