,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PEP,86392.0,86392.0,79474.0,70372.0,67161.0
Cost of revenue(figures in $M),PEP,40576.0,40576.0,37075.0,31797.0,30132.0
Gross profit(figures in $M),PEP,45816.0,45816.0,42399.0,38575.0,37029.0
Selling general and administrative(figures in $M),PEP,34459.0,34459.0,31237.0,28495.0,26738.0
Total operating expenses(figures in $M),PEP,34459.0,34459.0,31237.0,28495.0,26738.0
Operating income or loss(figures in $M),PEP,11357.0,11357.0,11162.0,10080.0,10291.0
Interest expense(figures in $M),PEP,939.0,939.0,1863.0,1128.0,1135.0
Total other income/expenses net(figures in $M),PEP,287.0,287.0,522.0,117.0,-44.0
Income before tax(figures in $M),PEP,10705.0,10705.0,9821.0,9069.0,9312.0
Income tax expense(figures in $M),PEP,1727.0,1727.0,2142.0,1894.0,1959.0
Income from continuing operations(figures in $M),PEP,8978.0,8978.0,7679.0,7175.0,7353.0
Net income(figures in $M),PEP,8910.0,8910.0,7618.0,7120.0,7314.0
Net income available to common shareholders(figures in $M),PEP,8910.0,8910.0,7618.0,7120.0,7314.0
Basic EPS(figures in $M),PEP,,6.45e-06,5.51e-06,5.14e-06,5.26e-06
Diluted EPS(figures in $M),PEP,,6.4199999999999995e-06,5.49e-06,5.12e-06,5.2e-06
Basic average shares(figures in $M),PEP,,1380.0,1383.0,1385.0,1391.0
Diluted average shares(figures in $M),PEP,,1387.0,1389.0,1392.0,1407.0
EBITDA(figures in $M),PEP,,14924.0,14899.0,12745.0,12879.0
