,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PEP,"91,000","95,398","99,631","101,944","107,533"
Dividend,PEP,4.92,5.27,5.62,5.63,5.55
Dividend Yield (in %),PEP,2.83 %,3.03 %,3.23 %,3.36 %,-
EPS,PEP,7.32,7.95,8.59,8.90,9.84
P/E Ratio,PEP,26.28,24.20,22.38,21.60,19.55
EBIT(In $M),PEP,"13,465","14,447","15,520","15,883","17,186"
EBITDA(In $M),PEP,"16,308","17,799","18,946","19,927","22,240"
Net Profit(In $M),PEP,"10,098","10,905","11,786","11,823","12,869"
Net Profit Adjusted(In $M),PEP,"10,098","10,905","11,786","11,670",-
Pre-Tax Profit(In $M),PEP,"12,760","13,746","14,853","15,047","16,256"
Net Profit (Adjusted)(In $M),PEP,"12,577","13,658","14,703","15,171","16,256"
EPS (Non-GAAP) ex. SOE(In $),PEP,7.32,7.95,8.59,8.90,9.84
EPS (GAAP)(In $),PEP,7.25,7.90,8.61,8.89,9.66
Gross Income(In $M),PEP,"48,918","51,616","54,425",-,-
Cash Flow from Investing(In $M),PEP,"-5,089","-5,050","-4,954","-4,356",-
Cash Flow from Operations(In $M),PEP,"13,222","14,602","16,536","16,032",-
Cash Flow from Financing(In $M),PEP,"-6,527","-9,560","-11,037","-10,875",-
Cash Flow per Share(In $),PEP,9.09,10.46,11.69,13.18,13.89
Free Cash Flow(In $M),PEP,"8,477","9,755","10,994","10,545",-
Free Cash Flow per Share(In $),PEP,5.42,7.24,8.04,-,-
Book Value per Share(In $),PEP,13.99,15.41,17.57,15.06,16.38
Net Debt(In $M),PEP,"34,237","34,086","33,807","34,360","30,617"
Research & Development Exp.(In $M),PEP,835,877,921,-,-
Capital Expenditure(In $M),PEP,"5,137","5,179","5,263","4,973","5,269"
"Selling, General & Admin. Exp.(In $M)",PEP,"35,472","37,203","38,938",-,-
Shareholder’s Equity(In $M),PEP,"19,845","22,116","24,512","20,294","21,808"
Total Assets(In $M),PEP,"96,939","99,958","103,125","113,436",-
