,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SJM,"8,475","7,642","7,894","7,516","7,597"
Dividend,SJM,4.06,4.20,4.35,4.55,4.73
Dividend Yield (in %),SJM,2.68 %,2.77 %,2.87 %,-,-
EPS,SJM,8.69,9.61,10.13,10.29,10.65
P/E Ratio,SJM,18.13,16.40,15.55,15.31,14.79
EBIT(In $M),SJM,"1,385","1,461","1,513","1,501","1,526"
EBITDA(In $M),SJM,"1,616","1,681","1,732","1,721","1,754"
Net Profit(In $M),SJM,926,975,"1,018","1,023","1,042"
Net Profit Adjusted(In $M),SJM,926,975,"1,018","1,023","1,042"
Pre-Tax Profit(In $M),SJM,"1,221","1,300","1,362","1,345","1,371"
Net Profit (Adjusted)(In $M),SJM,"1,244","1,225","1,374","1,395",-
EPS (Non-GAAP) ex. SOE(In $),SJM,8.69,9.61,10.13,10.29,10.65
EPS (GAAP)(In $),SJM,7.89,9.08,9.64,10.29,10.65
Gross Income(In $M),SJM,"2,829","2,693","2,775",-,-
Cash Flow from Investing(In $M),SJM,-538,-72,-371,-,-
Cash Flow from Operations(In $M),SJM,"1,242","1,413","1,434",-,-
Cash Flow from Financing(In $M),SJM,-315,-828,-288,-,-
Cash Flow per Share(In $),SJM,11.01,12.99,13.23,13.56,13.40
Free Cash Flow(In $M),SJM,624,913,"1,002",-,-
Free Cash Flow per Share(In $),SJM,6.09,6.27,8.32,-,-
Book Value per Share(In $),SJM,78.74,84.02,-,82.79,85.11
Net Debt(In $M),SJM,"4,153","3,809","3,464","3,338","3,069"
Research & Development Exp.(In $M),SJM,-,-,-,-,-
Capital Expenditure(In $M),SJM,550,429,336,263,228
"Selling, General & Admin. Exp.(In $M)",SJM,"1,547","1,341","1,412",-,-
Shareholder’s Equity(In $M),SJM,"8,447","8,740","9,146","8,229","8,325"
Total Assets(In $M),SJM,"16,235","15,961","16,340",-,-
