,ticker,2022-04-30,2021-04-30,2020-04-30
Cash and cash equivalents(figures in $M),SJM,169.9,334.3,391.1
Total cash(figures in $M),SJM,169.9,334.3,391.1
Net receivables(figures in $M),SJM,524.7,533.7,551.4
Inventory(figures in $M),SJM,1089.3,959.9,895.3
Other current assets(figures in $M),SJM,226.2,113.8,134.9
Total current assets(figures in $M),SJM,2010.1,1941.7,1972.7
"Gross property, plant and equipment(figures in $M)",SJM,4217.7,3985.3,3886.7
Accumulated depreciation(figures in $M),SJM,-1979.5,-1841.8,-1768.9
"Net property, plant and equipment(figures in $M)",SJM,2131.7,2001.5,1969.4
Equity and other investments(figures in $M),SJM,0.0,0.0,38.6
Goodwill(figures in $M),SJM,6015.8,6023.6,6304.5
Intangible assets(figures in $M),SJM,5652.2,6041.2,6429.0
Other long-term assets(figures in $M),SJM,245.2,276.2,294.8
Total non-current assets(figures in $M),SJM,14044.9,14342.5,14997.7
Total assets(figures in $M),SJM,16055.0,16284.2,16970.4
Current debt(figures in $M),SJM,180.0,1234.9,248.0
Accounts payable(figures in $M),SJM,1193.3,1034.1,782.0
Accrued liabilities(figures in $M),SJM,193.8,200.6,167.5
Other current liabilities(figures in $M),SJM,579.5,598.5,557.1
Total current liabilities(figures in $M),SJM,1952.8,2867.5,1587.1
Long-term debt(figures in $M),SJM,4310.6,3516.8,5373.3
Deferred tax liabilities(figures in $M),SJM,1325.8,1349.3,1351.6
Other long-term liabilities(figures in $M),SJM,1651.5,1775.1,1819.1
Total non-current liabilities(figures in $M),SJM,5962.1,5291.9,7192.4
Total liabilities(figures in $M),SJM,7914.9,8159.4,8779.5
Common stock(figures in $M),SJM,26.6,27.1,29.0
Retained earnings(figures in $M),SJM,2893.0,2847.5,2746.8
Accumulated other comprehensive income(figures in $M),SJM,-237.4,-277.4,-379.0
Total stockholders' equity(figures in $M),SJM,8140.1,8124.8,8190.9
Total liabilities and stockholders' equity(figures in $M),SJM,16055.0,16284.2,16970.4
