,ticker,ttm,2022-04-30,2021-04-30,2020-04-30
Total revenue(figures in $M),SJM,8328.2,7998.9,8002.7,7801.0
Cost of revenue(figures in $M),SJM,5652.1,5298.2,4864.0,4799.0
Gross profit(figures in $M),SJM,2676.1,2700.7,3138.7,3002.0
Selling general and administrative(figures in $M),SJM,1431.6,1360.3,1523.1,1474.3
Total operating expenses(figures in $M),SJM,1577.5,1518.5,1727.4,1710.0
Operating income or loss(figures in $M),SJM,1098.6,1182.2,1411.3,1292.0
Interest expense(figures in $M),SJM,154.7,160.9,177.1,189.2
Total other income/expenses net(figures in $M),SJM,-14.3,-177.5,-62.3,-76.1
Income before tax(figures in $M),SJM,929.6,843.8,1171.9,1026.7
Income tax expense(figures in $M),SJM,218.1,212.1,295.6,247.2
Income from continuing operations(figures in $M),SJM,711.5,631.7,876.3,779.5
Net income(figures in $M),SJM,711.5,631.7,876.3,779.5
Net income available to common shareholders(figures in $M),SJM,710.2,631.7,876.3,779.5
Basic EPS(figures in $M),SJM,,5.84e-06,7.79e-06,6.84e-06
Diluted EPS(figures in $M),SJM,,5.83e-06,7.79e-06,6.84e-06
Basic average shares(figures in $M),SJM,,107.9,112.0,113.4
Diluted average shares(figures in $M),SJM,,107.9,112.0,113.4
EBITDA(figures in $M),SJM,,1463.8,1801.5,1662.4
