,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AVB,"2,731","2,858","2,974","2,989","3,057"
Dividend,AVB,6.61,6.87,7.11,6.81,7.03
Dividend Yield (in %),AVB,3.89 %,4.04 %,4.19 %,4.00 %,4.13 %
EPS,AVB,4.57,4.98,5.44,5.37,5.52
P/E Ratio,AVB,38.95,35.75,32.73,33.15,32.25
EBIT(In $M),AVB,899,967,"1,048",-,-
EBITDA(In $M),AVB,"1,707","1,803","1,887",-,-
Net Profit(In $M),AVB,636,689,772,763,785
Net Profit Adjusted(In $M),AVB,674,701,797,763,784
Pre-Tax Profit(In $M),AVB,647,701,777,-,-
Net Profit (Adjusted)(In $M),AVB,687,744,793,-,-
EPS (Non-GAAP) ex. SOE(In $),AVB,4.84,5.25,5.72,-,-
EPS (GAAP)(In $),AVB,4.57,4.98,5.44,5.37,5.52
Gross Income(In $M),AVB,"1,798","1,914","2,032","2,103","2,209"
Cash Flow from Investing(In $M),AVB,"-1,005","-1,319","-1,335",-,-
Cash Flow from Operations(In $M),AVB,"1,603","1,706","1,635",-,-
Cash Flow from Financing(In $M),AVB,"-1,043",-164,-310,-,-
Cash Flow per Share(In $),AVB,10.90,11.54,11.70,-,-
Free Cash Flow(In $M),AVB,"1,655","1,758","1,784",-,-
Free Cash Flow per Share(In $),AVB,-,-,-,-,-
Book Value per Share(In $),AVB,81.03,79.27,78.49,-,-
Net Debt(In $M),AVB,"7,739","8,110","8,193","9,292","9,886"
Research & Development Exp.(In $M),AVB,-,-,-,-,-
Capital Expenditure(In $M),AVB,165,167,-,-,-
"Selling, General & Admin. Exp.(In $M)",AVB,76,79,81,-,-
Shareholder’s Equity(In $M),AVB,"11,344","11,096","10,940",-,-
Total Assets(In $M),AVB,"20,251","20,327","20,210",-,-
