,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AVB,2593.446,2593.446,2294.85,2301.261,2324.626
Cost of revenue(figures in $M),AVB,919.114,919.114,853.942,823.102,768.106
Gross profit(figures in $M),AVB,1674.332,1674.332,1440.908,1478.159,1556.52
Research development(figures in $M),AVB,16.565,16.565,,,
Selling general and administrative(figures in $M),AVB,74.064,74.064,69.611,60.343,58.042
Total operating expenses(figures in $M),AVB,905.607,905.607,828.207,767.674,719.62
Operating income or loss(figures in $M),AVB,768.725,768.725,612.701,710.485,836.9
Interest expense(figures in $M),AVB,230.074,230.074,220.415,214.151,203.585
Total other income/expenses net(figures in $M),AVB,612.433,612.433,617.803,328.125,165.791
Income before tax(figures in $M),AVB,1151.084,1151.084,1010.089,824.459,799.106
Income tax expense(figures in $M),AVB,14.646,14.646,5.733,-3.247,13.003
Income from continuing operations(figures in $M),AVB,1136.438,1136.438,1004.356,827.706,786.103
Net income(figures in $M),AVB,1136.775,1136.775,1004.299,827.63,785.974
Net income available to common shareholders(figures in $M),AVB,1134.684,1136.775,1004.299,827.63,785.974
Basic EPS(figures in $M),AVB,,,7.190000000000001e-06,5.8899999999999995e-06,5.639999999999999e-06
Diluted EPS(figures in $M),AVB,,,7.190000000000001e-06,5.8899999999999995e-06,5.63e-06
Basic average shares(figures in $M),AVB,,,139.681,140.426,139.42
Diluted average shares(figures in $M),AVB,,,139.717,140.435,139.572
EBITDA(figures in $M),AVB,,2196.136,1989.1,1745.941,1664.269
