,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1136.775,1136.775,1004.299,827.63,785.974,AVB
Depreciation & amortisation(figures in $M),814.978,814.978,758.596,707.331,661.578,AVB
Stock-based compensation(figures in $M),33.864,33.864,25.505,21.603,25.621,AVB
Change in working capital(figures in $M),10.009,10.009,9.997,-25.463,-10.497,AVB
Other working capital(figures in $M),1247.227,1247.227,1049.935,1082.579,1180.912,AVB
Other non-cash items(figures in $M),16.817,16.817,12.551,18.596,11.88,AVB
Net cash provided by operating activities(figures in $M),1421.932,1421.932,1203.17,1219.615,1321.804,AVB
"Investments in property, plant and equipment(figures in $M)",-174.705,-174.705,-153.235,-137.036,-140.892,AVB
"Acquisitions, net(figures in $M)",-23.216,-14.269,-53.536,0.0,-10.183,AVB
Other investing activities(figures in $M),-16.251,-16.251,-28.662,4.635,-2.761,AVB
Net cash used for investing activities(figures in $M),-560.419,-560.419,-624.053,-179.433,-1193.869,AVB
Debt repayment(figures in $M),-143.332,-143.332,-571.709,-1085.392,-227.57,AVB
Common stock issued(figures in $M),20.02,20.02,31.874,3.464,409.725,AVB
Common stock repurchased(figures in $M),0.0,0.0,0.0,-183.876,0.0,AVB
Dividends paid(figures in $M),-890.031,-890.031,-888.698,-883.644,-840.131,AVB
Other financing activities(figures in $M),-6.278,-6.278,-18.971,-52.397,-40.263,AVB
Net cash used provided by (used for) financing activities(figures in $M),-671.056,-671.056,-348.861,-854.264,-218.185,AVB
Net change in cash(figures in $M),190.457,190.457,230.256,185.918,-90.25,AVB
Cash at beginning of period(figures in $M),543.788,543.788,313.532,127.614,217.864,AVB
Cash at end of period(figures in $M),734.245,734.245,543.788,313.532,127.614,AVB
Operating cash flow(figures in $M),1421.932,1421.932,1203.17,1219.615,1321.804,AVB
Capital expenditure(figures in $M),-174.705,-174.705,-153.235,-137.036,-140.892,AVB
Free cash flow(figures in $M),1247.227,1247.227,1049.935,1082.579,1180.912,AVB
