,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),UNP,24875.0,24875.0,21804.0,19533.0,21708.0
Cost of revenue(figures in $M),UNP,13670.0,13670.0,11290.0,10354.0,12094.0
Gross profit(figures in $M),UNP,11205.0,11205.0,10514.0,9179.0,9614.0
Total operating expenses(figures in $M),UNP,1288.0,1288.0,1176.0,1345.0,1060.0
Operating income or loss(figures in $M),UNP,9917.0,9917.0,9338.0,7834.0,8554.0
Interest expense(figures in $M),UNP,1271.0,1271.0,1157.0,1141.0,1050.0
Total other income/expenses net(figures in $M),UNP,426.0,426.0,297.0,287.0,243.0
Income before tax(figures in $M),UNP,9072.0,9072.0,8478.0,6980.0,7747.0
Income tax expense(figures in $M),UNP,2074.0,2074.0,1955.0,1631.0,1828.0
Income from continuing operations(figures in $M),UNP,6998.0,6998.0,6523.0,5349.0,5919.0
Net income(figures in $M),UNP,6998.0,6998.0,6523.0,5349.0,5919.0
Net income available to common shareholders(figures in $M),UNP,6998.0,6998.0,6523.0,5349.0,5919.0
Basic EPS(figures in $M),UNP,,1.124e-05,9.980000000000001e-06,7.9e-06,8.41e-06
Diluted EPS(figures in $M),UNP,,1.1210000000000001e-05,9.95e-06,7.879999999999999e-06,8.380000000000001e-06
Basic average shares(figures in $M),UNP,,622.7,653.8,677.3,703.5
Diluted average shares(figures in $M),UNP,,624.0,655.4,679.1,706.1
EBITDA(figures in $M),UNP,,12589.0,11843.0,10331.0,11013.0
