,ticker,2023,2024,2025,2026,2027
Revenue(In $M),UNP,"24,753","25,685","26,405","27,684","28,902"
Dividend,UNP,5.31,5.50,5.60,6.40,6.90
Dividend Yield (in %),UNP,2.70 %,2.82 %,3.19 %,3.27 %,3.52 %
EPS,UNP,11.27,12.31,13.68,14.73,16.28
P/E Ratio,UNP,17.36,15.89,14.30,13.28,12.01
EBIT(In $M),UNP,"9,921","10,581","11,051","11,716","12,427"
EBITDA(In $M),UNP,"12,352","13,076","13,619","14,396","15,161"
Net Profit(In $M),UNP,"6,820","7,216","7,610","8,145","8,668"
Net Profit Adjusted(In $M),UNP,"6,814","7,211","7,583","8,145","8,668"
Pre-Tax Profit(In $M),UNP,"8,976","9,509","10,014",-,-
Net Profit (Adjusted)(In $M),UNP,"9,041","9,592","10,407",-,-
EPS (Non-GAAP) ex. SOE(In $),UNP,11.27,12.31,13.68,14.73,16.28
EPS (GAAP)(In $),UNP,11.32,12.36,13.39,-,-
Gross Income(In $M),UNP,"13,454","14,109","14,975",-,-
Cash Flow from Investing(In $M),UNP,"-3,493","-3,531","-3,661","-3,699","-3,863"
Cash Flow from Operations(In $M),UNP,"9,065","9,684","10,355","11,017","11,591"
Cash Flow from Financing(In $M),UNP,"-5,316","-5,842","-6,188","-6,925","-7,447"
Cash Flow per Share(In $),UNP,15.37,16.45,17.83,-,-
Free Cash Flow(In $M),UNP,"5,638","5,672","5,986","7,302","7,911"
Free Cash Flow per Share(In $),UNP,8.30,9.60,9.06,12.83,13.93
Book Value per Share(In $),UNP,20.28,21.44,52.37,-,-
Net Debt(In $M),UNP,"33,067","33,635","31,849",-,-
Research & Development Exp.(In $M),UNP,-,-,-,-,-
Capital Expenditure(In $M),UNP,"3,566","3,565","3,673","3,850","3,850"
"Selling, General & Admin. Exp.(In $M)",UNP,-,-,-,-,-
Shareholder’s Equity(In $M),UNP,"12,655","12,538","12,156","11,096","10,744"
Total Assets(In $M),UNP,"66,924","68,279","68,237","68,005","68,958"
