,ticker,2023,2024,2025
Revenue(In $M),GCI,"2,768","2,692","2,713"
Dividend,GCI,0.00,0.00,0.00
Dividend Yield (in %),GCI,-,-,-
EPS,GCI,-0.03,0.04,0.33
P/E Ratio,GCI,-60.32,55.93,6.16
EBIT(In $M),GCI,97,113,155
EBITDA(In $M),GCI,280,267,290
Net Profit(In $M),GCI,-5,5,59
Net Profit Adjusted(In $M),GCI,-19,-29,61
Pre-Tax Profit(In $M),GCI,-3,10,56
Net Profit (Adjusted)(In $M),GCI,35,-,-
EPS (Non-GAAP) ex. SOE(In $),GCI,0.07,0.28,0.40
EPS (GAAP)(In $),GCI,0.21,-,-
Gross Income(In $M),GCI,-,-,-
Cash Flow from Investing(In $M),GCI,-8,-52,-
Cash Flow from Operations(In $M),GCI,155,197,-
Cash Flow from Financing(In $M),GCI,-138,-173,-
Cash Flow per Share(In $),GCI,0.67,-,-
Free Cash Flow(In $M),GCI,151,-,-
Free Cash Flow per Share(In $),GCI,1.22,1.35,-
Book Value per Share(In $),GCI,4.29,-,-
Net Debt(In $M),GCI,475,-,-
Research & Development Exp.(In $M),GCI,-,-,-
Capital Expenditure(In $M),GCI,41,45,-
"Selling, General & Admin. Exp.(In $M)",GCI,774,-,-
Shareholder’s Equity(In $M),GCI,390,413,-
Total Assets(In $M),GCI,"2,413","2,349",-
