,2018,2017,2016,2015,2014,ticker
Current ratio,1.233,1.551,1.488,1.508,1.458,COL
Quick ratio,0.608,0.694,0.611,0.602,0.617,COL
Cash ratio,0.157,0.229,0.145,0.118,0.147,COL
Days of sales outstanding,88.838,76.296,75.929,72.248,75.727,COL
Days of inventory outstanding,169.659,183.775,194.326,183.405,179.817,COL
Operating cycle,258.497,260.070,270.255,255.653,255.544,COL
Days of payables outstanding,52.582,69.506,52.816,48.968,56.291,COL
Cash conversion cycle,205.915,190.565,217.439,206.685,199.253,COL
Gross profit margin,0.342,0.286,0.307,0.308,0.303,COL
Operating profit margin,0.128,0.164,0.190,0.195,0.189,COL
Pretax profit margin,0.128,0.136,0.178,0.183,0.177,COL
Net profit margin,0.119,0.103,0.217,0.131,0.121,COL
Effective tax rate,0.072,0.243,-0.222,0.279,0.299,COL
Return on assets,0.054,0.039,0.148,0.093,0.086,COL
Return on equity,0.145,0.117,0.550,0.366,0.321,COL
Return on capital employed,0.078,0.075,0.186,0.195,0.193,COL
Net income per EBT,0.928,0.757,1.222,0.713,0.685,COL
Ebt per ebit,1,0.833,0.936,0.940,0.937,COL
Ebit per revenue,0.128,0.164,0.190,0.195,0.189,COL
Debt ratio,0.626,0.664,0.730,0.746,0.733,COL
Debt equity ratio,1.116,1.184,1.021,1.135,1.150,COL
Long term debt to capitalization,0.444,0.525,0.399,0.473,0.469,COL
Total debt to capitalization,0.527,0.542,0.505,0.532,0.535,COL
Interest coverage,0,5.979,15.609,16.770,15.949,COL
Cash flow to debt ratio,-0.039,0.177,0.341,0.345,0.297,COL
Company equity multiplier,2.677,2.978,3.709,3.941,3.749,COL
Receivables turnover,4.109,4.784,4.807,5.052,4.820,COL
Payables turnover,6.942,5.251,6.911,7.454,6.484,COL
Inventory turnover,2.151,1.986,1.878,1.990,2.030,COL
Fixed asset turnover,6.064,4.880,5.081,5.440,5.418,COL
Asset turnover,0.455,0.379,0.682,0.710,0.705,COL
Operating cash flow per share,-1.890,7.759,5.553,5.572,4.806,COL
Free cash flow per share,-3.457,6.286,4.071,3.980,3.582,COL
Cash per share,4.500,4.316,2.611,1.911,2.410,COL
Payout ratio,0.209,0.275,0.150,0.243,0.268,COL
Operating cash flow sales ratio,-0.036,0.185,0.137,0.140,0.129,COL
Free cash flow operating cash flow ratio,1.829,0.810,0.733,0.714,0.745,COL
Cash flow coverage ratios,-0.039,0.177,0.341,0.345,0.297,COL
Short term coverage ratios,-0.138,2.639,0.977,1.641,1.278,COL
Capital expenditure coverage ratio,1.206,-5.267,-3.746,-3.500,-3.927,COL
Dividend paid and capex coverage ratio,7.561,-27.478,-34.429,-17.093,-322,COL
Dividend payout ratio,0.209,0.275,0.150,0.243,0.268,COL
Price book value ratio,3.260,3.524,5.284,5.757,5.583,COL
Price to book ratio,3.260,3.524,5.284,5.757,5.583,COL
Price to sales ratio,2.674,3.121,2.088,2.058,2.113,COL
Price earnings ratio,22.450,30.202,9.607,15.736,17.416,COL
Price to free cash flows ratio,-40.861,20.794,20.719,20.561,21.915,COL
Price to operating cash flows ratio,-74.736,16.845,15.188,14.687,16.334,COL
Price cash flow ratio,-74.736,16.845,15.188,14.687,16.334,COL
Price earnings to growth ratio,0.495,-0.596,0.140,1.029,-4.794,COL
Price sales ratio,2.674,3.121,2.088,2.058,2.113,COL
Dividend yield,0.009,0.009,0.016,0.015,0.015,COL
Enterprise value multiple,16.473,17.000,10.194,9.938,10.603,COL
Price fair value,3.260,3.524,5.284,5.757,5.583,COL
