,ticker,2023,2024,2025
Revenue(In $M),JBL,"33,945","35,237","36,141"
Dividend,JBL,0.33,0.33,0.23
Dividend Yield (in %),JBL,0.39 %,0.39 %,0.26 %
EPS,JBL,8.38,9.06,9.69
P/E Ratio,JBL,9.24,8.54,7.99
EBIT(In $M),JBL,"1,632","1,719","1,770"
EBITDA(In $M),JBL,"2,592","2,691","2,784"
Net Profit(In $M),JBL,"1,074","1,150","1,151"
Net Profit Adjusted(In $M),JBL,"1,121","1,169","1,217"
Pre-Tax Profit(In $M),JBL,"1,386","1,432","1,534"
Net Profit (Adjusted)(In $M),JBL,"1,306","1,350","1,516"
EPS (Non-GAAP) ex. SOE(In $),JBL,-,-,-
EPS (GAAP)(In $),JBL,6.74,7.99,8.60
Gross Income(In $M),JBL,"2,676","2,823","2,811"
Cash Flow from Investing(In $M),JBL,-831,-908,-943
Cash Flow from Operations(In $M),JBL,"1,771","2,022","2,274"
Cash Flow from Financing(In $M),JBL,-773,-665,-645
Cash Flow per Share(In $),JBL,14.29,16.47,19.86
Free Cash Flow(In $M),JBL,854,997,"1,365"
Free Cash Flow per Share(In $),JBL,8.77,9.58,-
Book Value per Share(In $),JBL,23.10,28.19,36.29
Net Debt(In $M),JBL,"1,271",973,352
Research & Development Exp.(In $M),JBL,34,36,-
Capital Expenditure(In $M),JBL,"1,047","1,088","1,026"
"Selling, General & Admin. Exp.(In $M)",JBL,"1,068","1,062","1,055"
Shareholder’s Equity(In $M),JBL,"3,061","3,638","4,542"
Total Assets(In $M),JBL,"19,354","19,991","20,459"
