,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AVY,9039.3,9039.3,8408.3,6971.5,7070.1
Cost of revenue(figures in $M),AVY,6635.1,6635.1,6095.5,5048.2,5166.0
Gross profit(figures in $M),AVY,2404.2,2404.2,2312.8,1923.3,1904.1
Selling general and administrative(figures in $M),AVY,1330.8,1330.8,1248.5,1060.5,1080.4
Total operating expenses(figures in $M),AVY,1330.8,1330.8,1248.5,1060.5,1080.4
Operating income or loss(figures in $M),AVY,1073.4,1073.4,1064.3,862.8,823.7
Interest expense(figures in $M),AVY,84.1,84.1,70.2,70.0,75.8
Total other income/expenses net(figures in $M),AVY,10.0,10.0,-1.5,-55.5,-498.4
Income before tax(figures in $M),AVY,999.3,999.3,992.6,737.3,249.5
Income tax expense(figures in $M),AVY,242.2,242.2,248.6,177.7,-56.7
Income from continuing operations(figures in $M),AVY,757.1,757.1,740.1,555.9,303.6
Net income(figures in $M),AVY,757.1,757.1,740.1,555.9,303.6
Net income available to common shareholders(figures in $M),AVY,757.1,757.1,740.1,555.9,303.6
Basic EPS(figures in $M),AVY,,,8.939999999999999e-06,6.66e-06,3.6400000000000003e-06
Diluted EPS(figures in $M),AVY,,,8.83e-06,6.61e-06,3.5699999999999997e-06
Basic average shares(figures in $M),AVY,,,82.606,83.151,83.367
Diluted average shares(figures in $M),AVY,,,83.8,84.1,85.0
EBITDA(figures in $M),AVY,,1374.1,1306.9,1012.6,504.3
