,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AVY,167.2,162.7,252.3,253.7
Total cash(figures in $M),AVY,167.2,162.7,252.3,253.7
Net receivables(figures in $M),AVY,1374.4,1424.5,1235.2,1212.2
Inventory(figures in $M),AVY,1009.9,907.2,717.2,663.0
Other current assets(figures in $M),AVY,230.5,240.2,211.5,211.7
Total current assets(figures in $M),AVY,2782.0,2734.6,2416.2,2340.6
"Gross property, plant and equipment(figures in $M)",AVY,3747.7,3626.2,3476.3,3171.6
Accumulated depreciation(figures in $M),AVY,-2207.5,-2148.5,-2132.6,-1960.9
"Net property, plant and equipment(figures in $M)",AVY,1540.2,1477.7,1343.7,1210.7
Goodwill(figures in $M),AVY,1862.4,1881.5,1136.4,930.8
Intangible assets(figures in $M),AVY,840.3,911.4,224.9,126.5
Other long-term assets(figures in $M),AVY,810.5,836.2,765.0,654.8
Total non-current assets(figures in $M),AVY,5168.5,5237.0,3682.7,3148.2
Total assets(figures in $M),AVY,7950.5,7971.6,6098.9,5488.8
Current debt(figures in $M),AVY,598.6,318.8,64.7,440.2
Accounts payable(figures in $M),AVY,1339.3,1298.8,1050.9,1066.1
Taxes payable(figures in $M),AVY,76.2,74.9,86.3,71.4
Accrued liabilities(figures in $M),AVY,402.3,475.3,379.2,352.8
Other current liabilities(figures in $M),AVY,861.9,930.3,810.4,747.5
Total current liabilities(figures in $M),AVY,2799.8,2547.9,1926.0,2253.8
Long-term debt(figures in $M),AVY,2503.5,2785.9,2052.1,1499.3
Deferred tax liabilities(figures in $M),AVY,247.9,238.5,117.3,110.3
Other long-term liabilities(figures in $M),AVY,615.0,713.4,620.9,531.7
Total non-current liabilities(figures in $M),AVY,3118.5,3499.3,2673.0,2031.0
Total liabilities(figures in $M),AVY,5918.3,6047.2,4599.0,4284.8
Common stock(figures in $M),AVY,124.1,124.1,124.1,124.1
Retained earnings(figures in $M),AVY,4414.6,3880.7,3349.3,2979.1
Accumulated other comprehensive income(figures in $M),AVY,-364.0,-282.9,-334.6,-348.1
Total stockholders' equity(figures in $M),AVY,2032.2,1924.4,1499.9,1204.0
Total liabilities and stockholders' equity(figures in $M),AVY,7950.5,7971.6,6098.9,5488.8
