,2022,2021,2019,2018,ticker
Current ratio,1.073,1.255,1.039,1.152,AVY
Quick ratio,0.623,0.772,0.650,0.727,AVY
Cash ratio,0.064,0.131,0.113,0.116,AVY
Days of sales outstanding,61.837,64.670,62.581,62.033,AVY
Days of inventory outstanding,54.323,51.856,46.844,45.344,AVY
Operating cycle,116.160,116.526,109.425,107.377,AVY
Days of payables outstanding,77.772,75.983,75.325,71.733,AVY
Cash conversion cycle,38.388,40.543,34.100,35.644,AVY
Gross profit margin,0.275,0.276,0.269,0.268,AVY
Operating profit margin,0.126,0.123,0.054,0.110,AVY
Pretax profit margin,0.118,0.106,0.035,0.077,AVY
Net profit margin,0.088,0.080,0.043,0.065,AVY
Effective tax rate,0.250,0.241,-0.227,0.154,AVY
Return on assets,0.093,0.091,0.055,0.090,AVY
Return on equity,0.385,0.371,0.252,0.489,AVY
Return on capital employed,0.195,0.205,0.117,0.248,AVY
Net income per EBT,0.746,0.754,1.217,0.842,AVY
Ebt per ebit,0.937,0.861,0.659,0.704,AVY
Ebit per revenue,0.126,0.123,0.054,0.110,AVY
Debt ratio,0.759,0.754,0.781,0.816,AVY
Debt equity ratio,1.613,1.411,1.611,2.059,AVY
Long term debt to capitalization,0.591,0.578,0.555,0.650,AVY
Total debt to capitalization,0.617,0.585,0.617,0.673,AVY
Interest coverage,15.084,12.239,4.993,13.470,AVY
Cash flow to debt ratio,0.337,0.355,0.385,0.233,AVY
Company equity multiplier,4.142,4.066,4.559,5.421,AVY
Receivables turnover,5.903,5.644,5.832,5.884,AVY
Payables turnover,4.693,4.804,4.846,5.088,AVY
Inventory turnover,6.719,7.039,7.792,8.050,AVY
Fixed asset turnover,5.690,5.188,5.840,6.294,AVY
Asset turnover,1.055,1.143,1.288,1.383,AVY
Operating cash flow per share,12.672,9.035,8.954,5.405,AVY
Free cash flow per share,9.378,6.406,5.869,2.376,AVY
Cash per share,1.970,3.034,3.043,2.738,AVY
Payout ratio,0.298,0.354,0.625,0.374,AVY
Operating cash flow sales ratio,0.124,0.108,0.106,0.064,AVY
Free cash flow operating cash flow ratio,0.740,0.709,0.655,0.440,AVY
Cash flow coverage ratios,0.337,0.355,0.385,0.233,AVY
Short term coverage ratios,3.284,11.612,1.696,2.353,AVY
Capital expenditure coverage ratio,-3.847,-3.437,-2.902,-1.784,AVY
Dividend paid and capex coverage ratio,-20.326,-34.463,-11.059,-5.612,AVY
Dividend payout ratio,0.298,0.354,0.625,0.374,AVY
Price book value ratio,9.296,8.599,9.113,7.880,AVY
Price to book ratio,9.296,8.599,9.113,7.880,AVY
Price to sales ratio,2.128,1.850,1.552,1.051,AVY
Price earnings ratio,24.172,23.201,36.139,16.102,AVY
Price to free cash flows ratio,23.093,24.212,22.424,37.387,AVY
Price to operating cash flows ratio,17.090,17.167,14.698,16.436,AVY
Price cash flow ratio,17.090,17.167,14.698,16.436,AVY
Price earnings to growth ratio,0.706,0.280,-1.062,0.223,AVY
Price sales ratio,2.128,1.850,1.552,1.051,AVY
Dividend yield,0.012,0.015,0.017,0.023,AVY
Enterprise value multiple,15.988,13.900,22.704,11.688,AVY
Price fair value,9.296,8.599,9.113,7.880,AVY
